Net generation from nuclear for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.NUC.H
19:20:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.NUC.H megawatthours
11/19/2021 06H,5882
11/19/2021 05H,5932
11/19/2021 04H,5956
11/19/2021 03H,5945
11/19/2021 02H,5951
11/19/2021 01H,5938
11/19/2021 00H,5933
11/18/2021 23H,5933
11/18/2021 22H,5931
11/18/2021 21H,5935
11/18/2021 20H,5933
11/18/2021 19H,5929
11/18/2021 18H,5937
11/18/2021 17H,5941
11/18/2021 16H,5966
11/18/2021 15H,5976
11/18/2021 14H,5990
11/18/2021 13H,5985
11/18/2021 12H,5980
11/18/2021 11H,5990
11/18/2021 10H,5986
11/18/2021 09H,5987
11/18/2021 08H,5984
11/18/2021 07H,5990
11/18/2021 06H,5978
11/18/2021 05H,5982
11/18/2021 04H,5968
11/18/2021 03H,5968
11/18/2021 02H,5961
11/18/2021 01H,5958
11/18/2021 00H,5958
11/17/2021 23H,5964
11/17/2021 22H,5955
11/17/2021 21H,5963
11/17/2021 20H,5966
11/17/2021 19H,5959
11/17/2021 18H,5965
11/17/2021 17H,5984
11/17/2021 16H,5990
11/17/2021 15H,6002
11/17/2021 14H,6012
11/17/2021 13H,6013
11/17/2021 12H,6009
11/17/2021 11H,6011
11/17/2021 10H,6005
11/17/2021 09H,6009
11/17/2021 08H,6004
11/17/2021 07H,6005
11/17/2021 06H,6001
11/17/2021 05H,5992
11/17/2021 04H,5989
11/17/2021 03H,5996
11/17/2021 02H,5987
11/17/2021 01H,5986
11/17/2021 00H,5975
11/16/2021 23H,5978
11/16/2021 22H,5973
11/16/2021 21H,5976
11/16/2021 20H,5976
11/16/2021 19H,5984
11/16/2021 18H,5989
11/16/2021 17H,5987
11/16/2021 16H,6005
11/16/2021 15H,6009
11/16/2021 14H,6023
11/16/2021 13H,6013
11/16/2021 12H,6021
11/16/2021 11H,6016
11/16/2021 10H,6016
11/16/2021 09H,6020
11/16/2021 08H,6020
11/16/2021 07H,6012
11/16/2021 06H,6016
11/16/2021 05H,6010
11/16/2021 04H,6011
11/16/2021 03H,6006
11/16/2021 02H,6003
11/16/2021 01H,6004
11/16/2021 00H,6003
11/15/2021 23H,6001
11/15/2021 22H,5998
11/15/2021 21H,5993
11/15/2021 20H,5999
11/15/2021 19H,5997
11/15/2021 18H,6003
11/15/2021 17H,6010
11/15/2021 16H,6010
11/15/2021 15H,6014
11/15/2021 14H,6020
11/15/2021 13H,6016
11/15/2021 12H,6008
11/15/2021 11H,6009
11/15/2021 10H,6015
11/15/2021 09H,6009
11/15/2021 08H,6008
11/15/2021 07H,6015
11/15/2021 06H,6008
11/15/2021 05H,6008
11/15/2021 04H,6007
11/15/2021 03H,6006
11/15/2021 02H,6013
11/15/2021 01H,5999
11/15/2021 00H,6009
11/14/2021 23H,6002
11/14/2021 22H,6005
11/14/2021 21H,6004
11/14/2021 20H,6005
11/14/2021 19H,6011
11/14/2021 18H,6015
11/14/2021 17H,6011
11/14/2021 16H,6027
11/14/2021 15H,6021
11/14/2021 14H,6023
11/14/2021 13H,6027
11/14/2021 12H,6017
11/14/2021 11H,6024
11/14/2021 10H,6021
11/14/2021 09H,6018
11/14/2021 08H,6018
11/14/2021 07H,6016
11/14/2021 06H,6014
11/14/2021 05H,6017
11/14/2021 04H,6000
11/14/2021 03H,6003
11/14/2021 02H,6003
11/14/2021 01H,5992
11/14/2021 00H,5991
11/13/2021 23H,5984
11/13/2021 22H,5983
11/13/2021 21H,5978
11/13/2021 20H,5983
11/13/2021 19H,5977
11/13/2021 18H,5985
11/13/2021 17H,5988
11/13/2021 16H,5993
11/13/2021 15H,6001
11/13/2021 14H,6004
11/13/2021 13H,6009
11/13/2021 12H,6003
11/13/2021 11H,5994
11/13/2021 10H,6007
11/13/2021 09H,6002
11/13/2021 08H,6006
11/13/2021 07H,5998
11/13/2021 06H,6000
11/13/2021 05H,5998
11/13/2021 04H,5995
11/13/2021 03H,5996
11/13/2021 02H,5991
11/13/2021 01H,5989
11/13/2021 00H,5986
11/12/2021 23H,5982
11/12/2021 22H,5985
11/12/2021 21H,5982
11/12/2021 20H,5981
11/12/2021 19H,5981
11/12/2021 18H,5985
11/12/2021 17H,5989
11/12/2021 16H,5983
11/12/2021 15H,5986
11/12/2021 14H,5978
11/12/2021 13H,5980
11/12/2021 12H,5965
11/12/2021 11H,5961
11/12/2021 10H,5962
11/12/2021 09H,5942
11/12/2021 08H,5943
11/12/2021 07H,5942
11/12/2021 06H,5944
11/12/2021 05H,5946
11/12/2021 04H,5941
11/12/2021 03H,5941
11/12/2021 02H,5941
11/12/2021 01H,5942
11/12/2021 00H,5940
11/11/2021 23H,5938
11/11/2021 22H,5936
11/11/2021 21H,5935
11/11/2021 20H,5931
11/11/2021 19H,5925
11/11/2021 18H,5937
11/11/2021 17H,5948
11/11/2021 16H,5953
11/11/2021 15H,5968
11/11/2021 14H,5982
11/11/2021 13H,5983
11/11/2021 12H,5987
11/11/2021 11H,5983
11/11/2021 10H,5991
11/11/2021 09H,5992
11/11/2021 08H,5991
11/11/2021 07H,5991
11/11/2021 06H,5996
11/11/2021 05H,5982
11/11/2021 04H,5979
11/11/2021 03H,5988
11/11/2021 02H,5980
11/11/2021 01H,5977
11/11/2021 00H,5968
11/10/2021 23H,5973
11/10/2021 22H,5977
11/10/2021 21H,5977
11/10/2021 20H,5974
11/10/2021 19H,5977
11/10/2021 18H,5983
11/10/2021 17H,5993
11/10/2021 16H,5999
11/10/2021 15H,6003
11/10/2021 14H,6011
11/10/2021 13H,6009
11/10/2021 12H,6008
11/10/2021 11H,6006
11/10/2021 10H,6008
11/10/2021 09H,6012
11/10/2021 08H,6006
11/10/2021 07H,6004
11/10/2021 06H,6002
11/10/2021 05H,5997
11/10/2021 04H,5993
11/10/2021 03H,5996
11/10/2021 02H,5997
11/10/2021 01H,5987
11/10/2021 00H,5982
11/9/2021 23H,5979
11/9/2021 22H,5979
11/9/2021 21H,5979
11/9/2021 20H,5974
11/9/2021 19H,5989
11/9/2021 18H,5982
11/9/2021 17H,5982
11/9/2021 16H,6000
11/9/2021 15H,6011
11/9/2021 14H,6014
11/9/2021 13H,6014
11/9/2021 12H,6014
11/9/2021 11H,6014
11/9/2021 10H,6018
11/9/2021 09H,6007
11/9/2021 08H,6017
11/9/2021 07H,6012
11/9/2021 06H,6009
11/9/2021 05H,6011
11/9/2021 04H,6007
11/9/2021 03H,6006
11/9/2021 02H,6007
11/9/2021 01H,6002
11/9/2021 00H,5996
11/8/2021 23H,5993
11/8/2021 22H,5997
11/8/2021 21H,5993
11/8/2021 20H,5992
11/8/2021 19H,6001
11/8/2021 18H,6001
11/8/2021 17H,6002
11/8/2021 16H,6001
11/8/2021 15H,6014
11/8/2021 14H,6021
11/8/2021 13H,6012
11/8/2021 12H,6021
11/8/2021 11H,6016
11/8/2021 10H,6013
11/8/2021 09H,6015
11/8/2021 08H,6010
11/8/2021 07H,6003
11/8/2021 06H,6003
11/8/2021 05H,6009
11/8/2021 04H,6000
11/8/2021 03H,5992
11/8/2021 02H,5996
11/8/2021 01H,5993
11/8/2021 00H,5995
11/7/2021 23H,5987
11/7/2021 22H,5990
11/7/2021 21H,5982
11/7/2021 20H,5986
11/7/2021 19H,5979
11/7/2021 18H,5988
11/7/2021 17H,5998
11/7/2021 16H,5998
11/7/2021 15H,6005
11/7/2021 14H,6009
11/7/2021 13H,6015
11/7/2021 12H,6010
11/7/2021 11H,6012
11/7/2021 10H,6012
11/7/2021 09H,6007
11/7/2021 08H,6008
11/7/2021 07H,5996
11/7/2021 06H,6002
11/7/2021 05H,5950
11/7/2021 04H,5903
11/7/2021 03H,5862
11/7/2021 02H,5906
11/7/2021 01H,6011
11/7/2021 00H,6013
11/6/2021 23H,6011
11/6/2021 22H,6007
11/6/2021 21H,6007
11/6/2021 20H,6008
11/6/2021 19H,6003
11/6/2021 18H,6010
11/6/2021 17H,6005
11/6/2021 16H,6013
11/6/2021 15H,6009
11/6/2021 14H,6011
11/6/2021 13H,6014
11/6/2021 12H,6017
11/6/2021 11H,6015
11/6/2021 10H,6015
11/6/2021 09H,6010
11/6/2021 08H,6018
11/6/2021 07H,6010
11/6/2021 06H,6015
11/6/2021 05H,6011
11/6/2021 04H,6010
11/6/2021 03H,6011
11/6/2021 02H,6014
11/6/2021 01H,6017
11/6/2021 00H,6009
11/5/2021 23H,6011
11/5/2021 22H,6008
11/5/2021 21H,6013
