Net generation from wind for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.WND.H
19:22:21 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.WND.H megawatthours
11/19/2021 07H,945
11/19/2021 06H,913
11/19/2021 05H,699
11/19/2021 04H,652
11/19/2021 03H,604
11/19/2021 02H,584
11/19/2021 01H,430
11/19/2021 00H,258
11/18/2021 23H,208
11/18/2021 22H,141
11/18/2021 21H,176
11/18/2021 20H,206
11/18/2021 19H,256
11/18/2021 18H,241
11/18/2021 17H,287
11/18/2021 16H,351
11/18/2021 15H,550
11/18/2021 14H,660
11/18/2021 13H,684
11/18/2021 12H,638
11/18/2021 11H,775
11/18/2021 10H,889
11/18/2021 09H,1036
11/18/2021 08H,1018
11/18/2021 07H,1004
11/18/2021 06H,852
11/18/2021 05H,1084
11/18/2021 04H,1162
11/18/2021 03H,1141
11/18/2021 02H,1155
11/18/2021 01H,1047
11/18/2021 00H,977
11/17/2021 23H,1040
11/17/2021 22H,980
11/17/2021 21H,891
11/17/2021 20H,912
11/17/2021 19H,943
11/17/2021 18H,783
11/17/2021 17H,736
11/17/2021 16H,700
11/17/2021 15H,763
11/17/2021 14H,552
11/17/2021 13H,460
11/17/2021 12H,777
11/17/2021 11H,841
11/17/2021 10H,901
11/17/2021 09H,1055
11/17/2021 08H,1131
11/17/2021 07H,1163
11/17/2021 06H,1126
11/17/2021 05H,1109
11/17/2021 04H,1049
11/17/2021 03H,1129
11/17/2021 02H,1162
11/17/2021 01H,1206
11/17/2021 00H,1388
11/16/2021 23H,1486
11/16/2021 22H,1454
11/16/2021 21H,1411
11/16/2021 20H,1384
11/16/2021 19H,1381
11/16/2021 18H,1238
11/16/2021 17H,1140
11/16/2021 16H,1191
11/16/2021 15H,1412
11/16/2021 14H,1133
11/16/2021 13H,1107
11/16/2021 12H,1077
11/16/2021 11H,1025
11/16/2021 10H,911
11/16/2021 09H,880
11/16/2021 08H,1032
11/16/2021 07H,1175
11/16/2021 06H,1079
11/16/2021 05H,816
11/16/2021 04H,708
11/16/2021 03H,705
11/16/2021 02H,629
11/16/2021 01H,682
11/16/2021 00H,653
11/15/2021 23H,545
11/15/2021 22H,563
11/15/2021 21H,654
11/15/2021 20H,675
11/15/2021 19H,661
11/15/2021 18H,631
11/15/2021 17H,652
11/15/2021 16H,692
11/15/2021 15H,774
11/15/2021 14H,930
11/15/2021 13H,862
11/15/2021 12H,881
11/15/2021 11H,878
11/15/2021 10H,841
11/15/2021 09H,771
11/15/2021 08H,708
11/15/2021 07H,717
11/15/2021 06H,792
11/15/2021 05H,920
11/15/2021 04H,922
11/15/2021 03H,956
11/15/2021 02H,933
11/15/2021 01H,958
11/15/2021 00H,886
11/14/2021 23H,830
11/14/2021 22H,761
11/14/2021 21H,736
11/14/2021 20H,562
11/14/2021 19H,518
11/14/2021 18H,424
11/14/2021 17H,445
11/14/2021 16H,680
11/14/2021 15H,807
11/14/2021 14H,818
11/14/2021 13H,746
11/14/2021 12H,787
11/14/2021 11H,842
11/14/2021 10H,793
11/14/2021 09H,864
11/14/2021 08H,979
11/14/2021 07H,913
11/14/2021 06H,814
11/14/2021 05H,848
11/14/2021 04H,852
11/14/2021 03H,907
11/14/2021 02H,1012
11/14/2021 01H,1071
11/14/2021 00H,1089
11/13/2021 23H,1136
11/13/2021 22H,1060
11/13/2021 21H,1018
11/13/2021 20H,999
11/13/2021 19H,957
11/13/2021 18H,865
11/13/2021 17H,805
11/13/2021 16H,775
11/13/2021 15H,1027
11/13/2021 14H,1053
11/13/2021 13H,997
11/13/2021 12H,925
11/13/2021 11H,938
11/13/2021 10H,842
11/13/2021 09H,830
11/13/2021 08H,652
11/13/2021 07H,652
11/13/2021 06H,478
11/13/2021 05H,421
11/13/2021 04H,363
11/13/2021 03H,358
11/13/2021 02H,398
11/13/2021 01H,421
11/13/2021 00H,386
11/12/2021 23H,307
11/12/2021 22H,283
11/12/2021 21H,304
11/12/2021 20H,340
11/12/2021 19H,376
11/12/2021 18H,478
11/12/2021 17H,631
11/12/2021 16H,782
11/12/2021 15H,999
11/12/2021 14H,1007
11/12/2021 13H,911
11/12/2021 12H,975
11/12/2021 11H,993
