Net generation from nuclear for Tennessee (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390117&sdid=EBA.TEN-ALL.NG.NUC.H
19:23:23 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEN-ALL.NG.NUC.H megawatthours
11/19/2021 06H,7277
11/19/2021 05H,7276
11/19/2021 04H,7271
11/19/2021 03H,7279
11/19/2021 02H,7279
11/19/2021 01H,7270
11/19/2021 00H,7270
11/18/2021 23H,7270
11/18/2021 22H,7270
11/18/2021 21H,7267
11/18/2021 20H,7265
11/18/2021 19H,7263
11/18/2021 18H,7255
11/18/2021 17H,7255
11/18/2021 16H,7251
11/18/2021 15H,7254
11/18/2021 14H,7256
11/18/2021 13H,7260
11/18/2021 12H,7258
11/18/2021 11H,7251
11/18/2021 10H,7255
11/18/2021 09H,7264
11/18/2021 08H,7254
11/18/2021 07H,7254
11/18/2021 06H,7257
11/18/2021 05H,7257
11/18/2021 04H,7255
11/18/2021 03H,7258
11/18/2021 02H,7260
11/18/2021 01H,7253
11/18/2021 00H,7265
11/17/2021 23H,7247
11/17/2021 22H,7255
11/17/2021 21H,7254
11/17/2021 20H,7254
11/17/2021 19H,7263
11/17/2021 18H,7255
11/17/2021 17H,7258
11/17/2021 16H,7258
11/17/2021 15H,7271
11/17/2021 14H,7271
11/17/2021 13H,7272
11/17/2021 12H,7277
11/17/2021 11H,7269
11/17/2021 10H,7272
11/17/2021 09H,7280
11/17/2021 08H,7270
11/17/2021 07H,7278
11/17/2021 06H,7271
11/17/2021 05H,7265
11/17/2021 04H,7269
11/17/2021 03H,7265
11/17/2021 02H,7264
11/17/2021 01H,7267
11/17/2021 00H,7271
11/16/2021 23H,7264
11/16/2021 22H,7260
11/16/2021 21H,7270
11/16/2021 20H,7266
11/16/2021 19H,7282
11/16/2021 18H,7287
11/16/2021 17H,7284
11/16/2021 16H,7289
11/16/2021 15H,7285
11/16/2021 14H,7288
11/16/2021 13H,7291
11/16/2021 12H,7291
11/16/2021 11H,7297
11/16/2021 10H,7296
11/16/2021 09H,7288
11/16/2021 08H,7275
11/16/2021 07H,7219
11/16/2021 06H,7172
11/16/2021 05H,7130
11/16/2021 04H,7057
11/16/2021 03H,7069
11/16/2021 02H,7261
11/16/2021 01H,7265
11/16/2021 00H,7268
11/15/2021 23H,7267
11/15/2021 22H,7269
11/15/2021 21H,7273
11/15/2021 20H,7281
11/15/2021 19H,7281
11/15/2021 18H,7292
11/15/2021 17H,7290
11/15/2021 16H,7294
11/15/2021 15H,7296
11/15/2021 14H,7289
11/15/2021 13H,7293
11/15/2021 12H,7290
11/15/2021 11H,7287
11/15/2021 10H,7291
11/15/2021 09H,7289
11/15/2021 08H,7287
11/15/2021 07H,7294
11/15/2021 06H,7292
11/15/2021 05H,7291
11/15/2021 04H,7281
11/15/2021 03H,7291
11/15/2021 02H,7291
11/15/2021 01H,7286
11/15/2021 00H,7283
11/14/2021 23H,7290
11/14/2021 22H,7281
11/14/2021 21H,7258
11/14/2021 20H,7165
11/14/2021 19H,7057
11/14/2021 18H,6984
11/14/2021 17H,6856
11/14/2021 16H,6837
11/14/2021 15H,6847
11/14/2021 14H,6838
11/14/2021 13H,6847
11/14/2021 12H,6840
11/14/2021 11H,6839
11/14/2021 10H,6840
11/14/2021 09H,6841
11/14/2021 08H,6847
11/14/2021 07H,6834
11/14/2021 06H,6837
11/14/2021 05H,6835
11/14/2021 04H,6826
11/14/2021 03H,6839
11/14/2021 02H,6832
11/14/2021 01H,6835
11/14/2021 00H,6833
11/13/2021 23H,6823
11/13/2021 22H,6826
11/13/2021 21H,6829
11/13/2021 20H,6831
11/13/2021 19H,6829
11/13/2021 18H,6827
11/13/2021 17H,6830
11/13/2021 16H,6831
11/13/2021 15H,6831
11/13/2021 14H,6842
11/13/2021 13H,6830
11/13/2021 12H,6846
11/13/2021 11H,6831
11/13/2021 10H,6833
11/13/2021 09H,6833
11/13/2021 08H,6836
11/13/2021 07H,6834
11/13/2021 06H,6834
11/13/2021 05H,6832
11/13/2021 04H,6826
11/13/2021 03H,6815
11/13/2021 02H,6824
11/13/2021 01H,6819
11/13/2021 00H,6812
11/12/2021 23H,6809
11/12/2021 22H,6803
11/12/2021 21H,6807
11/12/2021 20H,6813
11/12/2021 19H,6814
11/12/2021 18H,6820
11/12/2021 17H,6814
11/12/2021 16H,6812
11/12/2021 15H,6831
11/12/2021 14H,6830
11/12/2021 13H,6800
11/12/2021 12H,6792
11/12/2021 11H,6777
11/12/2021 10H,6759
11/12/2021 09H,6737
11/12/2021 08H,6720
11/12/2021 07H,6702
11/12/2021 06H,6869
11/12/2021 05H,7104
11/12/2021 04H,7091
11/12/2021 03H,7070
11/12/2021 02H,7033
11/12/2021 01H,7003
11/12/2021 00H,6966
11/11/2021 23H,6942
11/11/2021 22H,6927
11/11/2021 21H,6900
11/11/2021 20H,6878
11/11/2021 19H,6855
11/11/2021 18H,6843
11/11/2021 17H,6823
11/11/2021 16H,6824
11/11/2021 15H,6813
11/11/2021 14H,6788
11/11/2021 13H,6736
11/11/2021 12H,6694
11/11/2021 11H,6650
11/11/2021 10H,6573
11/11/2021 09H,6542
11/11/2021 08H,6560
11/11/2021 07H,6543
11/11/2021 06H,6546
11/11/2021 05H,6547
11/11/2021 04H,6550
11/11/2021 03H,6542
11/11/2021 02H,6537
11/11/2021 01H,6540
11/11/2021 00H,6541
11/10/2021 23H,6545
11/10/2021 22H,6552
11/10/2021 21H,6545
11/10/2021 20H,6548
11/10/2021 19H,6557
11/10/2021 18H,6551
11/10/2021 17H,6534
11/10/2021 16H,6526
11/10/2021 15H,6513
11/10/2021 14H,6513
11/10/2021 13H,6516
11/10/2021 12H,6501
11/10/2021 11H,6408
11/10/2021 10H,6318
11/10/2021 09H,6297
11/10/2021 08H,6300
11/10/2021 07H,6301
11/10/2021 06H,6305
11/10/2021 05H,6300
11/10/2021 04H,6307
11/10/2021 03H,6270
11/10/2021 02H,6159
11/10/2021 01H,6076
11/10/2021 00H,6048
11/9/2021 23H,6050
11/9/2021 22H,6045
11/9/2021 21H,6050
11/9/2021 20H,6048
11/9/2021 19H,6055
11/9/2021 18H,6063
11/9/2021 17H,6074
11/9/2021 16H,6076
11/9/2021 15H,6082
11/9/2021 14H,6074
11/9/2021 13H,6082
11/9/2021 12H,6081
11/9/2021 11H,6080
11/9/2021 10H,6085
11/9/2021 09H,6078
11/9/2021 08H,6072
11/9/2021 07H,6080
11/9/2021 06H,6072
11/9/2021 05H,6076
11/9/2021 04H,6068
11/9/2021 03H,6067
11/9/2021 02H,6066
11/9/2021 01H,6058
11/9/2021 00H,6061
11/8/2021 23H,6052
11/8/2021 22H,6060
11/8/2021 21H,6065
11/8/2021 20H,6060
11/8/2021 19H,6074
11/8/2021 18H,6073
11/8/2021 17H,6074
11/8/2021 16H,6089
11/8/2021 15H,6079
11/8/2021 14H,6086
11/8/2021 13H,6091
11/8/2021 12H,6089
11/8/2021 11H,6083
11/8/2021 10H,6091
11/8/2021 09H,6090
11/8/2021 08H,6080
11/8/2021 07H,6085
11/8/2021 06H,608
11/8/2021 05H,6080
11/8/2021 04H,6083
11/8/2021 03H,6080
11/8/2021 02H,6080
11/8/2021 01H,6071
11/8/2021 00H,6071
11/7/2021 23H,6072
11/7/2021 22H,6070
11/7/2021 21H,6080
11/7/2021 20H,6075
11/7/2021 19H,6088
11/7/2021 18H,6076
11/7/2021 17H,6085
11/7/2021 16H,6086
11/7/2021 15H,6092
11/7/2021 14H,6098
11/7/2021 13H,6091
11/7/2021 12H,6088
11/7/2021 11H,6094
11/7/2021 10H,6091
11/7/2021 09H,6088
11/7/2021 08H,6093
11/7/2021 07H,6087
11/7/2021 06H,6089
11/7/2021 05H,6108
11/7/2021 04H,6098
11/7/2021 03H,6101
11/7/2021 02H,6095
11/7/2021 01H,6101
11/7/2021 00H,6090
11/6/2021 23H,6103
11/6/2021 22H,6085
11/6/2021 21H,6051
11/6/2021 20H,6014
11/6/2021 19H,5978
11/6/2021 18H,5968
11/6/2021 17H,5960
11/6/2021 16H,5968
11/6/2021 15H,5961
11/6/2021 14H,5971
11/6/2021 13H,5969
11/6/2021 12H,5981
11/6/2021 11H,6049
11/6/2021 10H,6094
11/6/2021 09H,6106
11/6/2021 08H,6099
11/6/2021 07H,6103
11/6/2021 06H,6108
11/6/2021 05H,6108
11/6/2021 04H,6098
11/6/2021 03H,6101
11/6/2021 02H,6095
11/6/2021 01H,6101
11/6/2021 00H,6090
11/5/2021 23H,6103
11/5/2021 22H,6085
11/5/2021 21H,6051
11/5/2021 20H,6014
11/5/2021 19H,5978
11/5/2021 18H,5968
11/5/2021 17H,5960
11/5/2021 16H,5968
11/5/2021 15H,5961
11/5/2021 14H,5971
11/5/2021 13H,5969
11/5/2021 12H,5981
11/5/2021 11H,6049
11/5/2021 10H,6094
11/5/2021 09H,6106
11/5/2021 08H,6099
11/5/2021 07H,6103
11/5/2021 06H,6096
11/5/2021 05H,6099
11/5/2021 04H,6096
11/5/2021 03H,6104
11/5/2021 02H,6098
11/5/2021 01H,6103
11/5/2021 00H,6100
11/4/2021 23H,6100
11/4/2021 22H,6095
11/4/2021 21H,6099
11/4/2021 20H,6103
11/4/2021 19H,6101
11/4/2021 18H,6105
11/4/2021 17H,6102
11/4/2021 16H,6097
11/4/2021 15H,6101
11/4/2021 14H,6113
11/4/2021 13H,6101
11/4/2021 12H,6109
11/4/2021 11H,6103
11/4/2021 10H,6109
11/4/2021 09H,6106
11/4/2021 08H,6103
11/4/2021 07H,6111
11/4/2021 06H,6102
11/4/2021 05H,6101
11/4/2021 04H,6104
11/4/2021 03H,6103
11/4/2021 02H,6103
11/4/2021 01H,6098
11/4/2021 00H,6097
11/3/2021 23H,6102
11/3/2021 22H,6099
11/3/2021 21H,6099
11/3/2021 20H,6096
11/3/2021 19H,6105
11/3/2021 18H,6100
11/3/2021 17H,6101
11/3/2021 16H,6098
11/3/2021 15H,6102
11/3/2021 14H,6106
11/3/2021 13H,6096
11/3/2021 12H,6104
11/3/2021 11H,6098
11/3/2021 10H,6101
11/3/2021 09H,6099
11/3/2021 08H,6099
11/3/2021 07H,6098
11/3/2021 06H,6106
11/3/2021 05H,6101
11/3/2021 04H,6099
11/3/2021 03H,6092
11/3/2021 02H,6095
11/3/2021 01H,6095
11/3/2021 00H,6101
11/2/2021 23H,6090
11/2/2021 22H,6086
11/2/2021 21H,6091
11/2/2021 20H,6085
11/2/2021 19H,6095
11/2/2021 18H,6088
11/2/2021 17H,6103
11/2/2021 16H,6090
11/2/2021 15H,6096
11/2/2021 14H,6094
11/2/2021 13H,6096
11/2/2021 12H,6090
11/2/2021 11H,6101
11/2/2021 10H,6094
