Net generation from other for Tennessee (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390117&sdid=EBA.TEN-ALL.NG.OTH.H
19:23:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEN-ALL.NG.OTH.H megawatthours
11/19/2021 06H,12
11/19/2021 05H,8
11/19/2021 04H,14
11/19/2021 03H,14
11/19/2021 02H,14
11/19/2021 01H,11
11/19/2021 00H,14
11/18/2021 23H,14
11/18/2021 22H,11
11/18/2021 21H,17
11/18/2021 20H,17
11/18/2021 19H,17
11/18/2021 18H,11
11/18/2021 17H,14
11/18/2021 16H,20
11/18/2021 15H,22
11/18/2021 14H,22
11/18/2021 13H,20
11/18/2021 12H,20
11/18/2021 11H,19
11/18/2021 10H,23
11/18/2021 09H,19
11/18/2021 08H,23
11/18/2021 07H,22
11/18/2021 06H,25
11/18/2021 05H,23
11/18/2021 04H,25
11/18/2021 03H,25
11/18/2021 02H,20
11/18/2021 01H,22
11/18/2021 00H,20
11/17/2021 23H,25
11/17/2021 22H,22
11/17/2021 21H,23
11/17/2021 20H,22
11/17/2021 19H,22
11/17/2021 18H,23
11/17/2021 17H,17
11/17/2021 16H,19
11/17/2021 15H,25
11/17/2021 14H,26
11/17/2021 13H,28
11/17/2021 12H,28
11/17/2021 11H,22
11/17/2021 10H,22
11/17/2021 09H,23
11/17/2021 08H,19
11/17/2021 07H,20
11/17/2021 06H,22
11/17/2021 05H,20
11/17/2021 04H,20
11/17/2021 03H,22
11/17/2021 02H,20
11/17/2021 01H,19
11/17/2021 00H,25
11/16/2021 23H,26
11/16/2021 22H,25
11/16/2021 21H,25
11/16/2021 20H,25
11/16/2021 19H,25
11/16/2021 18H,28
11/16/2021 17H,23
11/16/2021 16H,25
11/16/2021 15H,25
11/16/2021 14H,23
11/16/2021 13H,22
11/16/2021 12H,25
11/16/2021 11H,23
11/16/2021 10H,25
11/16/2021 09H,22
11/16/2021 08H,25
11/16/2021 07H,23
11/16/2021 06H,25
11/16/2021 05H,22
11/16/2021 04H,26
11/16/2021 03H,25
11/16/2021 02H,25
11/16/2021 01H,25
11/16/2021 00H,23
11/15/2021 23H,25
11/15/2021 22H,25
11/15/2021 21H,25
11/15/2021 20H,25
11/15/2021 19H,26
11/15/2021 18H,22
11/15/2021 17H,25
11/15/2021 16H,25
11/15/2021 15H,26
11/15/2021 14H,22
11/15/2021 13H,25
11/15/2021 12H,25
11/15/2021 11H,26
11/15/2021 10H,25
11/15/2021 09H,28
11/15/2021 08H,25
11/15/2021 07H,28
11/15/2021 06H,25
11/15/2021 05H,25
11/15/2021 04H,26
11/15/2021 03H,25
11/15/2021 02H,22
11/15/2021 01H,25
11/15/2021 00H,20
11/14/2021 23H,20
11/14/2021 22H,22
11/14/2021 21H,20
