Net generation from coal for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.COL.H
19:01:56 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.COL.H megawatthours
11/19/2021 05H,79089
11/19/2021 04H,82840
11/19/2021 03H,85583
11/19/2021 02H,87486
11/19/2021 01H,87528
11/19/2021 00H,86443
11/18/2021 23H,84062
11/18/2021 22H,82640
11/18/2021 21H,82534
11/18/2021 20H,80786
11/18/2021 19H,80337
11/18/2021 18H,81462
11/18/2021 17H,80025
11/18/2021 16H,80890
11/18/2021 15H,82416
11/18/2021 14H,82184
11/18/2021 13H,79548
11/18/2021 12H,75591
11/18/2021 11H,70393
11/18/2021 10H,66061
11/18/2021 09H,65111
11/18/2021 08H,64958
11/18/2021 07H,65969
11/18/2021 06H,68974
11/18/2021 05H,73043
11/18/2021 04H,76167
11/18/2021 03H,79403
11/18/2021 02H,82454
11/18/2021 01H,83328
11/18/2021 00H,81922
11/17/2021 23H,79603
11/17/2021 22H,78075
11/17/2021 21H,77779
11/17/2021 20H,77391
11/17/2021 19H,76717
11/17/2021 18H,76386
11/17/2021 17H,76711
11/17/2021 16H,76879
11/17/2021 15H,77100
11/17/2021 14H,77146
11/17/2021 13H,75606
11/17/2021 12H,70810
11/17/2021 11H,65049
11/17/2021 10H,63393
11/17/2021 09H,63184
11/17/2021 08H,64203
11/17/2021 07H,65902
11/17/2021 06H,69420
11/17/2021 05H,76149
11/17/2021 04H,76092
11/17/2021 03H,78821
11/17/2021 02H,80898
11/17/2021 01H,81840
11/17/2021 00H,82587
11/16/2021 23H,80376
11/16/2021 22H,79493
11/16/2021 21H,79187
11/16/2021 20H,79252
11/16/2021 19H,80251
11/16/2021 18H,81472
11/16/2021 17H,80816
11/16/2021 16H,80552
11/16/2021 15H,80881
11/16/2021 14H,81961
11/16/2021 13H,80873
11/16/2021 12H,76977
11/16/2021 11H,72353
11/16/2021 10H,70583
11/16/2021 09H,70192
11/16/2021 08H,70313
11/16/2021 07H,71551
11/16/2021 06H,73866
11/16/2021 05H,76819
11/16/2021 04H,85230
11/16/2021 03H,88658
11/16/2021 02H,91685
11/16/2021 01H,94631
11/16/2021 00H,94913
11/15/2021 23H,93722
11/15/2021 22H,90818
11/15/2021 21H,88935
11/15/2021 20H,89058
11/15/2021 19H,88506
11/15/2021 18H,87929
11/15/2021 17H,86409
