Net generation from hydro for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WAT.H
19:02:08 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WAT.H megawatthours
11/19/2021 05H,28272
11/19/2021 04H,31100
11/19/2021 03H,35029
11/19/2021 02H,38239
11/19/2021 01H,39616
11/19/2021 00H,42145
11/18/2021 23H,35104
11/18/2021 22H,30670
11/18/2021 21H,26525
11/18/2021 20H,25016
11/18/2021 19H,24577
11/18/2021 18H,25263
11/18/2021 17H,25924
11/18/2021 16H,28364
11/18/2021 15H,30119
11/18/2021 14H,29249
11/18/2021 13H,27558
11/18/2021 12H,25499
11/18/2021 11H,21042
11/18/2021 10H,19016
11/18/2021 09H,19279
11/18/2021 08H,19571
11/18/2021 07H,20330
11/18/2021 06H,22347
11/18/2021 05H,25353
11/18/2021 04H,28816
11/18/2021 03H,31230
11/18/2021 02H,35992
11/18/2021 01H,36562
11/18/2021 00H,35374
11/17/2021 23H,31994
11/17/2021 22H,28547
11/17/2021 21H,24617
11/17/2021 20H,24378
11/17/2021 19H,25046
11/17/2021 18H,25880
11/17/2021 17H,26685
11/17/2021 16H,28790
11/17/2021 15H,31700
11/17/2021 14H,31627
11/17/2021 13H,29362
11/17/2021 12H,27301
11/17/2021 11H,22072
11/17/2021 10H,19010
11/17/2021 09H,18871
11/17/2021 08H,20183
11/17/2021 07H,21951
11/17/2021 06H,22719
11/17/2021 05H,25798
11/17/2021 04H,28841
11/17/2021 03H,32402
11/17/2021 02H,36178
11/17/2021 01H,36746
11/17/2021 00H,33443
11/16/2021 23H,29338
11/16/2021 22H,25093
11/16/2021 21H,22022
11/16/2021 20H,20944
11/16/2021 19H,22199
11/16/2021 18H,23714
11/16/2021 17H,26700
11/16/2021 16H,31402
11/16/2021 15H,32896
11/16/2021 14H,32621
11/16/2021 13H,31764
11/16/2021 12H,29073
11/16/2021 11H,24318
11/16/2021 10H,20961
11/16/2021 09H,20813
11/16/2021 08H,21071
11/16/2021 07H,22139
11/16/2021 06H,24108
11/16/2021 05H,25374
11/16/2021 04H,29174
11/16/2021 03H,33398
11/16/2021 02H,37287
11/16/2021 01H,37647
11/16/2021 00H,35166
11/15/2021 23H,31140
11/15/2021 22H,26990
11/15/2021 21H,22962
11/15/2021 20H,21946
11/15/2021 19H,22671
11/15/2021 18H,24336
11/15/2021 17H,25698
11/15/2021 16H,29237
11/15/2021 15H,31874
11/15/2021 14H,33172
11/15/2021 13H,32091
11/15/2021 12H,27896
11/15/2021 11H,21725
11/15/2021 10H,18579
11/15/2021 09H,18390
11/15/2021 08H,18570
11/15/2021 07H,19934
11/15/2021 06H,21563
11/15/2021 05H,23712
11/15/2021 04H,26474
11/15/2021 03H,28737
11/15/2021 02H,32423
11/15/2021 01H,33650
11/15/2021 00H,32469
11/14/2021 23H,28608
11/14/2021 22H,25183
11/14/2021 21H,21906
11/14/2021 20H,20457
11/14/2021 19H,20845
11/14/2021 18H,21374
11/14/2021 17H,22091
11/14/2021 16H,24737
11/14/2021 15H,26656
11/14/2021 14H,26953
11/14/2021 13H,26898
11/14/2021 12H,24664
11/14/2021 11H,22433
11/14/2021 10H,20966
11/14/2021 09H,20821
11/14/2021 08H,20986
11/14/2021 07H,21558
