Net generation from natural gas for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NG.H
19:02:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NG.H megawatthours
11/19/2021 05H,151098
11/19/2021 04H,165310
11/19/2021 03H,174873
11/19/2021 02H,182048
11/19/2021 01H,188998
11/19/2021 00H,187045
11/18/2021 23H,174234
11/18/2021 22H,162693
11/18/2021 21H,155457
11/18/2021 20H,152294
11/18/2021 19H,151062
11/18/2021 18H,150584
11/18/2021 17H,150990
11/18/2021 16H,152220
11/18/2021 15H,153706
11/18/2021 14H,155569
11/18/2021 13H,150892
11/18/2021 12H,140639
11/18/2021 11H,124930
11/18/2021 10H,114816
11/18/2021 09H,110212
11/18/2021 08H,111902
11/18/2021 07H,113833
11/18/2021 06H,120272
11/18/2021 05H,133355
11/18/2021 04H,139083
11/18/2021 03H,142642
11/18/2021 02H,160429
11/18/2021 01H,166738
11/18/2021 00H,165261
11/17/2021 23H,158558
11/17/2021 22H,153461
11/17/2021 21H,145762
11/17/2021 20H,141401
11/17/2021 19H,137614
11/17/2021 18H,136544
11/17/2021 17H,136198
11/17/2021 16H,137685
11/17/2021 15H,139875
11/17/2021 14H,142257
11/17/2021 13H,143645
11/17/2021 12H,136961
11/17/2021 11H,123405
11/17/2021 10H,114850
11/17/2021 09H,110836
11/17/2021 08H,111509
11/17/2021 07H,114412
11/17/2021 06H,119702
11/17/2021 05H,130189
11/17/2021 04H,137320
11/17/2021 03H,147774
11/17/2021 02H,155410
11/17/2021 01H,161344
11/17/2021 00H,163379
11/16/2021 23H,156105
11/16/2021 22H,150574
11/16/2021 21H,140900
11/16/2021 20H,136935
11/16/2021 19H,134739
11/16/2021 18H,133946
11/16/2021 17H,135967
11/16/2021 16H,140506
11/16/2021 15H,145212
11/16/2021 14H,150680
11/16/2021 13H,153021
11/16/2021 12H,148772
11/16/2021 11H,134824
11/16/2021 10H,125730
11/16/2021 09H,121623
11/16/2021 08H,121040
11/16/2021 07H,124681
11/16/2021 06H,130043
11/16/2021 05H,136810
11/16/2021 04H,151545
11/16/2021 03H,166061
11/16/2021 02H,181690
11/16/2021 01H,194076
11/16/2021 00H,199463
11/15/2021 23H,191528
11/15/2021 22H,182672
11/15/2021 21H,173353
11/15/2021 20H,168557
11/15/2021 19H,166474
11/15/2021 18H,164861
11/15/2021 17H,163830
11/15/2021 16H,165483
11/15/2021 15H,167386
11/15/2021 14H,173299
11/15/2021 13H,172223
11/15/2021 12H,163377
11/15/2021 11H,147370
11/15/2021 10H,135099
11/15/2021 09H,128627
11/15/2021 08H,129877
11/15/2021 07H,132750
11/15/2021 06H,136359
11/15/2021 05H,144144
11/15/2021 04H,155366
11/15/2021 03H,167827
11/15/2021 02H,177656
11/15/2021 01H,182996
11/15/2021 00H,181594
11/14/2021 23H,168543
11/14/2021 22H,155979
11/14/2021 21H,145060
11/14/2021 20H,138944
11/14/2021 19H,134761
11/14/2021 18H,131011
11/14/2021 17H,127193
11/14/2021 16H,127487
11/14/2021 15H,130787
11/14/2021 14H,134350
11/14/2021 13H,132059
11/14/2021 12H,127069
11/14/2021 11H,121240
11/14/2021 10H,116810
11/14/2021 09H,116291
11/14/2021 08H,117557
11/14/2021 07H,119353
11/14/2021 06H,125058
11/14/2021 05H,128618
11/14/2021 04H,139734
11/14/2021 03H,147214
11/14/2021 02H,155599
11/14/2021 01H,161078
11/14/2021 00H,162406
11/13/2021 23H,150187
11/13/2021 22H,140244
11/13/2021 21H,133092
11/13/2021 20H,129442
