Net generation from solar for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.SUN.H
19:02:41 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.SUN.H megawatthours
11/19/2021 05H,46
11/19/2021 04H,56
11/19/2021 03H,42
11/19/2021 02H,39
11/19/2021 01H,1194
11/19/2021 00H,2953
11/18/2021 23H,12843
11/18/2021 22H,19302
11/18/2021 21H,22132
11/18/2021 20H,25396
11/18/2021 19H,27118
11/18/2021 18H,27126
11/18/2021 17H,26321
11/18/2021 16H,22157
11/18/2021 15H,11633
11/18/2021 14H,4405
11/18/2021 13H,1798
11/18/2021 12H,197
11/18/2021 11H,38
11/18/2021 10H,38
11/18/2021 09H,41
11/18/2021 08H,41
11/18/2021 07H,39
11/18/2021 06H,64
11/18/2021 05H,70
11/18/2021 04H,62
11/18/2021 03H,69
11/18/2021 02H,76
11/18/2021 01H,1956
11/18/2021 00H,3960
11/17/2021 23H,14814
11/17/2021 22H,21863
11/17/2021 21H,25802
11/17/2021 20H,28102
11/17/2021 19H,27719
11/17/2021 18H,28725
11/17/2021 17H,27673
11/17/2021 16H,22363
11/17/2021 15H,13522
11/17/2021 14H,6548
11/17/2021 13H,2146
11/17/2021 12H,207
11/17/2021 11H,78
11/17/2021 10H,41
11/17/2021 09H,56
11/17/2021 08H,56
11/17/2021 07H,60
11/17/2021 06H,61
11/17/2021 05H,77
11/17/2021 04H,78
11/17/2021 03H,81
11/17/2021 02H,89
11/17/2021 01H,1519
11/17/2021 00H,3829
11/16/2021 23H,13322
11/16/2021 22H,18755
11/16/2021 21H,22594
11/16/2021 20H,25400
11/16/2021 19H,26473
11/16/2021 18H,25936
11/16/2021 17H,24850
11/16/2021 16H,21044
11/16/2021 15H,14035
11/16/2021 14H,7563
11/16/2021 13H,2647
11/16/2021 12H,257
11/16/2021 11H,59
11/16/2021 10H,54
11/16/2021 09H,47
11/16/2021 08H,22
11/16/2021 07H,50
11/16/2021 06H,36
11/16/2021 05H,30
11/16/2021 04H,49
11/16/2021 03H,78
11/16/2021 02H,66
11/16/2021 01H,1215
11/16/2021 00H,3175
11/15/2021 23H,13849
11/15/2021 22H,21538
11/15/2021 21H,27230
11/15/2021 20H,30421
11/15/2021 19H,31522
11/15/2021 18H,32114
11/15/2021 17H,31747
11/15/2021 16H,27665
11/15/2021 15H,17509
11/15/2021 14H,7715
11/15/2021 13H,2170
11/15/2021 12H,233
11/15/2021 11H,41
11/15/2021 10H,39
11/15/2021 09H,38
11/15/2021 08H,28
11/15/2021 07H,38
11/15/2021 06H,39
11/15/2021 05H,38
11/15/2021 04H,41
11/15/2021 03H,47
11/15/2021 02H,62
11/15/2021 01H,2136
11/15/2021 00H,4646
11/14/2021 23H,16763
11/14/2021 22H,23584
11/14/2021 21H,27181
11/14/2021 20H,29500
11/14/2021 19H,30783
11/14/2021 18H,31136
11/14/2021 17H,29047
11/14/2021 16H,25490
11/14/2021 15H,16702
11/14/2021 14H,7664
11/14/2021 13H,2815
11/14/2021 12H,384
11/14/2021 11H,70
11/14/2021 10H,73
11/14/2021 09H,66
11/14/2021 08H,64
11/14/2021 07H,63
11/14/2021 06H,63
11/14/2021 05H,61
11/14/2021 04H,64
11/14/2021 03H,74
11/14/2021 02H,78
11/14/2021 01H,2237
11/14/2021 00H,4826
11/13/2021 23H,16311
11/13/2021 22H,21695
11/13/2021 21H,24994
11/13/2021 20H,27673
11/13/2021 19H,29539
11/13/2021 18H,29450
11/13/2021 17H,28723
11/13/2021 16H,25934
11/13/2021 15H,15975
11/13/2021 14H,6694
11/13/2021 13H,2290
11/13/2021 12H,315
11/13/2021 11H,50
11/13/2021 10H,44
11/13/2021 09H,41
11/13/2021 08H,39
11/13/2021 07H,48
11/13/2021 06H,49
11/13/2021 05H,55
11/13/2021 04H,48
11/13/2021 03H,62
11/13/2021 02H,103
11/13/2021 01H,2401
11/13/2021 00H,5121
11/12/2021 23H,18140
11/12/2021 22H,25090
11/12/2021 21H,27919
11/12/2021 20H,28900
11/12/2021 19H,28749
11/12/2021 18H,30190
11/12/2021 17H,30584
11/12/2021 16H,26142
11/12/2021 15H,14932
11/12/2021 14H,4834
11/12/2021 13H,1256
11/12/2021 12H,188
11/12/2021 11H,138
11/12/2021 10H,113
11/12/2021 09H,110
11/12/2021 08H,107
11/12/2021 07H,101
11/12/2021 06H,108
11/12/2021 05H,92
11/12/2021 04H,87
11/12/2021 03H,108
11/12/2021 02H,119
11/12/2021 01H,2496
11/12/2021 00H,5272
11/11/2021 23H,18101
11/11/2021 22H,24267
11/11/2021 21H,26683
