                       OLS Regression Results                      
Dep. Variable:   ,BURDEN          ,  R-squared:         ,   0.090  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.088  
Method:          ,Least Squares   ,  F-statistic:       ,   48.93  
Date:            ,Sun, 12 Dec 2021,  Prob (F-statistic):,  0.00    
Time:            ,22:30:36        ,  Log-Likelihood:    ,  52826.  
No. Observations:, 34396          ,  AIC:               ,-1.055e+05
Df Residuals:    , 34326          ,  BIC:               ,-1.049e+05
Df Model:        ,    69          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
ACPRIMARY_0,    0.0139,    0.002,    7.561, 0.000,    0.010,    0.018
ACPRIMARY_1,    0.0159,    0.002,    8.713, 0.000,    0.012,    0.020
ACPRIMARY_2,    0.0180,    0.003,    7.126, 0.000,    0.013,    0.023
ACPRIMARY_3,    0.0048,    0.006,    0.762, 0.446,   -0.007,    0.017
ACPRIMARY_4,    0.0185,    0.002,    9.647, 0.000,    0.015,    0.022
ACPRIMARY_5,    0.0180,    0.002,    9.080, 0.000,    0.014,    0.022
ACPRIMARY_6,    0.0112,    0.002,    4.993, 0.000,    0.007,    0.016
ACPRIMARY_7,    0.0145,    0.003,    5.491, 0.000,    0.009,    0.020
BLD_1      ,    0.0351,    0.002,   18.668, 0.000,    0.031,    0.039
BLD_2      ,    0.0184,    0.001,   14.175, 0.000,    0.016,    0.021
BLD_3      ,    0.0150,    0.002,    9.145, 0.000,    0.012,    0.018
BLD_4      ,    0.0105,    0.002,    5.389, 0.000,    0.007,    0.014
BLD_5      ,    0.0130,    0.002,    7.169, 0.000,    0.009,    0.017
BLD_6      ,    0.0086,    0.002,    4.843, 0.000,    0.005,    0.012
BLD_7      ,    0.0042,    0.002,    2.324, 0.020,    0.001,    0.008
BLD_8      ,    0.0043,    0.002,    2.197, 0.028,    0.000,    0.008
BLD_9      ,    0.0057,    0.002,    3.026, 0.002,    0.002,    0.009
COOKFUEL_0 ,    0.0101,    0.007,    1.415, 0.157,   -0.004,    0.024
COOKFUEL_1 ,    0.0192,    0.004,    4.613, 0.000,    0.011,    0.027
COOKFUEL_2 ,    0.0206,    0.004,    4.925, 0.000,    0.012,    0.029
COOKFUEL_3 ,    0.0223,    0.004,    5.087, 0.000,    0.014,    0.031
COOKFUEL_4 ,    0.0426,    0.015,    2.925, 0.003,    0.014,    0.071
DIVISION_1 ,    0.0193,    0.002,   10.603, 0.000,    0.016,    0.023
DIVISION_2 ,    0.0128,    0.002,    8.336, 0.000,    0.010,    0.016
DIVISION_3 ,    0.0156,    0.001,   11.271, 0.000,    0.013,    0.018
DIVISION_4 ,    0.0061,    0.002,    3.498, 0.000,    0.003,    0.009
DIVISION_5 ,    0.0112,    0.001,    7.935, 0.000,    0.008,    0.014
DIVISION_6 ,    0.0223,    0.002,   12.308, 0.000,    0.019,    0.026
DIVISION_7 ,    0.0138,    0.002,    9.018, 0.000,    0.011,    0.017
DIVISION_8 ,    0.0096,    0.002,    5.789, 0.000,    0.006,    0.013
DIVISION_9 ,    0.0043,    0.001,    3.027, 0.002,    0.002,    0.007
HEATFUEL_0 ,    0.0108,    0.003,    3.877, 0.000,    0.005,    0.016
HEATFUEL_1 ,    0.0027,    0.003,    0.906, 0.365,   -0.003,    0.009
HEATFUEL_2 ,   -0.0001,    0.003,   -0.046, 0.963,   -0.006,    0.006
HEATFUEL_3 ,    0.0215,    0.003,    6.359, 0.000,    0.015,    0.028
HEATFUEL_4 ,    0.0111,    0.003,    3.275, 0.001,    0.004,    0.018
HEATFUEL_5 ,    0.0189,    0.006,    2.965, 0.003,    0.006,    0.031
HEATFUEL_6 ,    0.0232,    0.013,    1.857, 0.063,   -0.001,    0.048
HEATFUEL_7 ,    0.0039,    0.004,    0.906, 0.365,   -0.005,    0.012
