                      OLS Regression Results                     
Dep. Variable:   ,BURDEN          ,  R-squared:         ,   0.097
Model:           ,OLS             ,  Adj. R-squared:    ,   0.077
Method:          ,Least Squares   ,  F-statistic:       ,   4.891
Date:            ,Sun, 12 Dec 2021,  Prob (F-statistic):,9.97e-34
Time:            ,22:30:37        ,  Log-Likelihood:    ,  4408.4
No. Observations:,  3134          ,  AIC:               ,  -8681.
Df Residuals:    ,  3066          ,  BIC:               ,  -8269.
Df Model:        ,    67          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
ACPRIMARY_0,    0.0143,    0.006,    2.287, 0.022,    0.002,    0.027
ACPRIMARY_1,    0.0140,    0.006,    2.331, 0.020,    0.002,    0.026
ACPRIMARY_2,    0.0390,    0.012,    3.369, 0.001,    0.016,    0.062
ACPRIMARY_3,    0.0053,    0.014,    0.386, 0.699,   -0.022,    0.032
ACPRIMARY_4,    0.0165,    0.006,    2.736, 0.006,    0.005,    0.028
ACPRIMARY_5,    0.0143,    0.006,    2.263, 0.024,    0.002,    0.027
ACPRIMARY_6,    0.0197,    0.007,    2.703, 0.007,    0.005,    0.034
ACPRIMARY_7,    0.0122,    0.009,    1.415, 0.157,   -0.005,    0.029
BLD_1      ,    0.0220,    0.006,    3.475, 0.001,    0.010,    0.034
BLD_2      ,    0.0112,    0.005,    2.119, 0.034,    0.001,    0.021
BLD_3      ,    0.0123,    0.009,    1.375, 0.169,   -0.005,    0.030
BLD_4      ,    0.0026,    0.008,    0.344, 0.731,   -0.012,    0.017
BLD_5      ,    0.0151,    0.008,    1.904, 0.057,   -0.000,    0.031
BLD_6      ,   -0.0007,    0.008,   -0.088, 0.930,   -0.016,    0.015
BLD_7      ,    0.0162,    0.010,    1.648, 0.099,   -0.003,    0.035
BLD_8      ,    0.0287,    0.011,    2.514, 0.012,    0.006,    0.051
BLD_9      ,    0.0280,    0.014,    1.935, 0.053,   -0.000,    0.056
COOKFUEL_0 ,   -0.0053,    0.037,   -0.143, 0.886,   -0.077,    0.067
COOKFUEL_1 ,    0.0333,    0.012,    2.688, 0.007,    0.009,    0.058
COOKFUEL_2 ,    0.0353,    0.013,    2.788, 0.005,    0.010,    0.060
COOKFUEL_3 ,    0.0389,    0.013,    3.043, 0.002,    0.014,    0.064
