                       OLS Regression Results                      
Dep. Variable:   ,BURDEN          ,  R-squared:         ,   0.081  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.079  
Method:          ,Least Squares   ,  F-statistic:       ,   40.62  
Date:            ,Sun, 12 Dec 2021,  Prob (F-statistic):,  0.00    
Time:            ,22:30:37        ,  Log-Likelihood:    ,  48655.  
No. Observations:, 31262          ,  AIC:               ,-9.717e+04
Df Residuals:    , 31193          ,  BIC:               ,-9.660e+04
Df Model:        ,    68          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
ACPRIMARY_0,    0.0087,    0.002,    5.081, 0.000,    0.005,    0.012
ACPRIMARY_1,    0.0113,    0.002,    6.822, 0.000,    0.008,    0.014
ACPRIMARY_2,    0.0104,    0.002,    4.362, 0.000,    0.006,    0.015
ACPRIMARY_3,    0.0034,    0.007,    0.473, 0.636,   -0.011,    0.018
ACPRIMARY_4,    0.0157,    0.002,    8.592, 0.000,    0.012,    0.019
ACPRIMARY_5,    0.0138,    0.002,    7.315, 0.000,    0.010,    0.018
ACPRIMARY_6,    0.0067,    0.002,    3.043, 0.002,    0.002,    0.011
ACPRIMARY_7,    0.0062,    0.003,    2.317, 0.021,    0.001,    0.011
BLD_1      ,    0.0305,    0.002,   17.017, 0.000,    0.027,    0.034
BLD_2      ,    0.0131,    0.001,   12.349, 0.000,    0.011,    0.015
BLD_3      ,    0.0099,    0.001,    6.967, 0.000,    0.007,    0.013
BLD_4      ,    0.0073,    0.002,    3.900, 0.000,    0.004,    0.011
BLD_5      ,    0.0075,    0.002,    4.579, 0.000,    0.004,    0.011
BLD_6      ,    0.0049,    0.002,    3.146, 0.002,    0.002,    0.008
BLD_7      ,    0.0002,    0.002,    0.153, 0.878,   -0.003,    0.003
BLD_8      ,   -0.0002,    0.002,   -0.128, 0.898,   -0.004,    0.003
BLD_9      ,    0.0028,    0.002,    1.701, 0.089,   -0.000,    0.006
COOKFUEL_0 ,    0.0083,    0.007,    1.137, 0.256,   -0.006,    0.023
COOKFUEL_1 ,    0.0122,    0.004,    3.051, 0.002,    0.004,    0.020
COOKFUEL_2 ,    0.0136,    0.004,    3.389, 0.001,    0.006,    0.021
COOKFUEL_3 ,    0.0171,    0.004,    3.949, 0.000,    0.009,    0.026
COOKFUEL_4 ,    0.0250,    0.014,    1.746, 0.081,   -0.003,    0.053
DIVISION_1 ,    0.0143,    0.002,    8.618, 0.000,    0.011,    0.018
DIVISION_2 ,    0.0080,    0.001,    6.061, 0.000,    0.005,    0.011
DIVISION_3 ,    0.0116,    0.001,   10.001, 0.000,    0.009,    0.014
DIVISION_4 ,    0.0016,    0.002,    0.900, 0.368,   -0.002,    0.005
DIVISION_5 ,    0.0070,    0.001,    6.052, 0.000,    0.005,    0.009
DIVISION_6 ,    0.0161,    0.002,    9.180, 0.000,    0.013,    0.019
DIVISION_7 ,    0.0095,    0.001,    7.370, 0.000,    0.007,    0.012
DIVISION_8 ,    0.0068,    0.001,    4.695, 0.000,    0.004,    0.010
DIVISION_9 ,    0.0014,    0.001,    1.159, 0.246,   -0.001,    0.004
HEATFUEL_0 ,    0.0041,    0.003,    1.274, 0.203,   -0.002,    0.010
HEATFUEL_1 ,    0.0058,    0.003,    1.716, 0.086,   -0.001,    0.012
HEATFUEL_2 ,    0.0029,    0.003,    0.866, 0.386,   -0.004,    0.010
HEATFUEL_3 ,    0.0261,    0.004,    6.542, 0.000,    0.018,    0.034
HEATFUEL_4 ,    0.0143,    0.004,    3.701, 0.000,    0.007,    0.022
HEATFUEL_5 ,    0.0208,    0.008,    2.657, 0.008,    0.005,    0.036
HEATFUEL_6 ,   -0.0134,    0.019,   -0.689, 0.491,   -0.051,    0.025
HEATFUEL_7 ,    0.0104,    0.005,    1.910, 0.056,   -0.000,    0.021
HEATFUEL_8 ,    0.0049,    0.014,    0.343, 0.732,   -0.023,    0.033
HEATFUEL_9 ,    0.0003,    0.008,    0.041, 0.968,   -0.016,    0.017
HEATTYPE_0 ,    0.0041,    0.003,    1.274, 0.203,   -0.002,    0.010
HEATTYPE_1 ,    0.0031,    0.002,    1.465, 0.143,   -0.001,    0.007
HEATTYPE_2 ,    0.0065,    0.002,    2.730, 0.006,    0.002,    0.011
HEATTYPE_3 ,    0.0019,    0.002,    0.843, 0.399,   -0.003,    0.006
HEATTYPE_4 ,    0.0029,    0.003,    1.148, 0.251,   -0.002,    0.008
HEATTYPE_5 ,    0.0036,    0.002,    1.502, 0.133,   -0.001,    0.008
HEATTYPE_6 ,    0.0002,    0.005,    0.044, 0.965,   -0.009,    0.009
HEATTYPE_7 ,    0.0208,    0.006,    3.590, 0.000,    0.009,    0.032
HEATTYPE_8 ,    0.0048,    0.003,    1.528, 0.126,   -0.001,    0.011
HEATTYPE_9 ,    0.0054,    0.007,    0.828, 0.407,   -0.007,    0.018
HEATTYPE_10,    0.0159,    0.009,    1.862, 0.063,   -0.001,    0.033
HEATTYPE_11,    0.0169,    0.013,    1.273, 0.203,   -0.009,    0.043
HEATTYPE_12,   -0.0116,    0.006,   -1.906, 0.057,   -0.023,    0.000
HEATTYPE_13,    0.0016,    0.012,    0.137, 0.891,   -0.022,    0.025
HHRACE_1.0 ,    0.0098,    0.002,    5.942, 0.000,    0.007,    0.013
HHRACE_2.0 ,    0.0239,    0.002,   13.496, 0.000,    0.020,    0.027
HHRACE_3.0 ,    0.0169,    0.003,    5.751, 0.000,    0.011,    0.023
HHRACE_4.0 ,    0.0065,    0.002,    3.430, 0.001,    0.003,    0.010
HHRACE_5.0 ,    0.0119,    0.004,    2.919, 0.004,    0.004,    0.020
HHRACE_6.0 ,    0.0072,    0.003,    2.700, 0.007,    0.002,    0.012
HOTWATER_0 ,    0.0002,    0.008,    0.032, 0.974,   -0.015,    0.015
HOTWATER_1 ,    0.0152,    0.003,    5.416, 0.000,    0.010,    0.021
HOTWATER_2 ,    0.0124,    0.003,    4.356, 0.000,    0.007,    0.018
HOTWATER_3 ,    0.0110,    0.004,    3.025, 0.002,    0.004,    0.018
HOTWATER_4 ,    0.0094,    0.004,    2.473, 0.013,    0.002,    0.017
HOTWATER_5 ,    0.0176,    0.010,    1.817, 0.069,   -0.001,    0.037
HOTWATER_6 ,    0.0103,    0.010,    1.051, 0.293,   -0.009,    0.029
TENURE_0.0 ,    0.0399,    0.003,   11.984, 0.000,    0.033,    0.046
TENURE_1.0 ,    0.0131,    0.003,    4.610, 0.000,    0.008,    0.019
TENURE_2.0 ,    0.0232,    0.003,    8.162, 0.000,    0.018,    0.029
FIREPLACE  ,   -0.0049,    0.001,   -7.106, 0.000,   -0.006,   -0.004
NUMELDERS  ,    0.0124,    0.000,   27.698, 0.000,    0.012,    0.013
NUMYNGKIDS ,    0.0023,    0.001,    3.680, 0.000,    0.001,    0.004
NUMOLDKIDS ,    0.0035,    0.000,    9.479, 0.000,    0.003,    0.004
URBAN      ,    0.0762,    0.008,    9.544, 0.000,    0.061,    0.092
SOLAR      ,   -0.0012,    0.002,   -0.704, 0.482,   -0.004,    0.002
UNITSIZE   ,   -0.0023,    0.000,  -10.537, 0.000,   -0.003,   -0.002
YRBUILT    ,-9.878e-05, 1.34e-05,   -7.352, 0.000,   -0.000,-7.24e-05
Intercept  ,    0.0762,    0.008,    9.544, 0.000,    0.061,    0.092
Omnibus:      ,26139.435,  Durbin-Watson:     ,   1.995  
Prob(Omnibus):, 0.000   ,  Jarque-Bera (JB):  ,713620.901
Skew:         , 3.993   ,  Prob(JB):          ,    0.00  
Kurtosis:     ,25.002   ,  Cond. No.          ,7.45e+16  

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
