                      OLS Regression Results                     
Dep. Variable:   ,BURDEN          ,  R-squared:         ,   0.070
Model:           ,OLS             ,  Adj. R-squared:    ,   0.060
Method:          ,Least Squares   ,  F-statistic:       ,   6.550
Date:            ,Sun, 12 Dec 2021,  Prob (F-statistic):,2.59e-54
Time:            ,22:30:36        ,  Log-Likelihood:    ,  2442.7
No. Observations:,  5943          ,  AIC:               ,  -4747.
Df Residuals:    ,  5874          ,  BIC:               ,  -4286.
Df Model:        ,    68          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
ACPRIMARY_0,    0.0006,    0.014,    0.045, 0.964,   -0.027,    0.028
ACPRIMARY_1,    0.0237,    0.014,    1.658, 0.097,   -0.004,    0.052
ACPRIMARY_2,    0.0516,    0.021,    2.477, 0.013,    0.011,    0.092
ACPRIMARY_3,   -0.0075,    0.056,   -0.133, 0.894,   -0.118,    0.103
ACPRIMARY_4,    0.0038,    0.014,    0.270, 0.787,   -0.024,    0.032
ACPRIMARY_5,-4.588e-05,    0.015,   -0.003, 0.997,   -0.029,    0.029
ACPRIMARY_6,   -0.0047,    0.017,   -0.281, 0.779,   -0.037,    0.028
ACPRIMARY_7,   -0.0165,    0.020,   -0.844, 0.399,   -0.055,    0.022
BLD_1      ,    0.0075,    0.013,    0.600, 0.548,   -0.017,    0.032
BLD_2      ,    0.0119,    0.010,    1.235, 0.217,   -0.007,    0.031
BLD_3      ,    0.0014,    0.013,    0.114, 0.909,   -0.023,    0.026
BLD_4      ,    0.0046,    0.013,    0.359, 0.720,   -0.020,    0.030
BLD_5      ,   -0.0157,    0.012,   -1.325, 0.185,   -0.039,    0.008
BLD_6      ,    0.0128,    0.012,    1.077, 0.282,   -0.011,    0.036
BLD_7      ,    0.0334,    0.013,    2.655, 0.008,    0.009,    0.058
BLD_8      ,   -0.0050,    0.013,   -0.384, 0.701,   -0.030,    0.020
BLD_9      , 6.764e-05,    0.013,    0.005, 0.996,   -0.025,    0.025
COOKFUEL_0 ,   -0.0674,    0.040,   -1.698, 0.090,   -0.145,    0.010
COOKFUEL_1 ,    0.0229,    0.026,    0.888, 0.375,   -0.028,    0.074
COOKFUEL_2 ,    0.0286,    0.026,    1.100, 0.271,   -0.022,    0.079
COOKFUEL_3 ,    0.0111,    0.028,    0.397, 0.691,   -0.044,    0.066
COOKFUEL_4 ,    0.0559,    0.081,    0.692, 0.489,   -0.102,    0.214
DIVISION_1 ,    0.0475,    0.015,    3.134, 0.002,    0.018,    0.077
DIVISION_2 ,    0.0393,    0.012,    3.154, 0.002,    0.015,    0.064
DIVISION_3 ,   -0.0035,    0.011,   -0.331, 0.741,   -0.024,    0.017
DIVISION_4 ,   -0.0217,    0.013,   -1.636, 0.102,   -0.048,    0.004
DIVISION_5 ,   -0.0037,    0.011,   -0.342, 0.733,   -0.025,    0.018
DIVISION_6 ,   -0.0062,    0.013,   -0.499, 0.618,   -0.031,    0.018
DIVISION_7 ,    0.0022,    0.011,    0.194, 0.846,   -0.020,    0.025
DIVISION_8 ,    0.0049,    0.012,    0.400, 0.689,   -0.019,    0.029
DIVISION_9 ,   -0.0077,    0.011,   -0.681, 0.496,   -0.030,    0.014
HEATFUEL_0 ,    0.0027,    0.018,    0.149, 0.881,   -0.033,    0.039
HEATFUEL_1 ,   -0.0038,    0.018,   -0.206, 0.837,   -0.040,    0.032
HEATFUEL_2 ,   -0.0021,    0.018,   -0.111, 0.911,   -0.038,    0.034
HEATFUEL_3 ,    0.0400,    0.022,    1.828, 0.068,   -0.003,    0.083
HEATFUEL_4 ,    0.0589,    0.024,    2.419, 0.016,    0.011,    0.107
HEATFUEL_5 ,    0.0230,    0.035,    0.655, 0.513,   -0.046,    0.092
HEATFUEL_6 ,   -0.0621,    0.085,   -0.734, 0.463,   -0.228,    0.104
HEATFUEL_7 ,   -0.0191,    0.033,   -0.585, 0.559,   -0.083,    0.045
