                      OLS Regression Results                     
Dep. Variable:   ,BURDEN          ,  R-squared:         ,   0.142
Model:           ,OLS             ,  Adj. R-squared:    ,   0.066
Method:          ,Least Squares   ,  F-statistic:       ,   1.873
Date:            ,Sun, 12 Dec 2021,  Prob (F-statistic):,8.34e-05
Time:            ,22:30:37        ,  Log-Likelihood:    ,  564.41
No. Observations:,   787          ,  AIC:               ,  -998.8
Df Residuals:    ,   722          ,  BIC:               ,  -695.4
Df Model:        ,    64          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
ACPRIMARY_0,    0.0003,    0.030,    0.010, 0.992,   -0.058,    0.059
ACPRIMARY_1,    0.0092,    0.029,    0.317, 0.751,   -0.047,    0.066
ACPRIMARY_2,    0.0902,    0.050,    1.796, 0.073,   -0.008,    0.189
ACPRIMARY_3,   -0.0636,    0.121,   -0.524, 0.600,   -0.302,    0.174
ACPRIMARY_4,    0.0057,    0.028,    0.202, 0.840,   -0.050,    0.061
ACPRIMARY_5,   -0.0151,    0.029,   -0.520, 0.603,   -0.072,    0.042
ACPRIMARY_6,    0.0236,    0.033,    0.711, 0.477,   -0.042,    0.089
ACPRIMARY_7,   -0.0102,    0.037,   -0.277, 0.782,   -0.082,    0.062
BLD_1      ,    0.0118,    0.026,    0.462, 0.645,   -0.039,    0.062
BLD_2      ,    0.0204,    0.021,    0.962, 0.336,   -0.021,    0.062
BLD_3      ,    0.0172,    0.044,    0.389, 0.698,   -0.070,    0.104
BLD_4      ,   -0.0026,    0.025,   -0.104, 0.917,   -0.053,    0.047
BLD_5      ,    0.0001,    0.028,    0.004, 0.996,   -0.054,    0.055
BLD_6      ,   -0.0346,    0.028,   -1.224, 0.221,   -0.090,    0.021
BLD_7      ,   -0.0090,    0.035,   -0.259, 0.796,   -0.077,    0.059
BLD_8      ,    0.0337,    0.032,    1.048, 0.295,   -0.029,    0.097
BLD_9      ,    0.0031,    0.039,    0.078, 0.938,   -0.074,    0.080
COOKFUEL_0 ,   -0.0893,    0.075,   -1.183, 0.237,   -0.237,    0.059
COOKFUEL_1 ,    0.0175,    0.045,    0.390, 0.697,   -0.071,    0.106
COOKFUEL_2 ,    0.0032,    0.046,    0.070, 0.944,   -0.087,    0.093
COOKFUEL_3 ,   -0.0013,    0.047,   -0.028, 0.978,   -0.094,    0.091
COOKFUEL_4 ,    0.1099,    0.108,    1.016, 0.310,   -0.102,    0.322
DIVISION_1 ,    0.1023,    0.034,    2.988, 0.003,    0.035,    0.169
DIVISION_2 ,    0.0348,    0.031,    1.129, 0.259,   -0.026,    0.095
DIVISION_3 ,   -0.0266,    0.021,   -1.256, 0.210,   -0.068,    0.015
DIVISION_4 ,   -0.0165,    0.022,   -0.755, 0.451,   -0.060,    0.026
DIVISION_5 ,   -0.0020,    0.023,   -0.088, 0.930,   -0.047,    0.043
DIVISION_6 ,   -0.0091,    0.023,   -0.389, 0.697,   -0.055,    0.037
DIVISION_7 ,   -0.0081,    0.024,   -0.335, 0.737,   -0.056,    0.039
DIVISION_8 ,   -0.0194,    0.027,   -0.706, 0.480,   -0.073,    0.034
DIVISION_9 ,   -0.0152,    0.029,   -0.515, 0.607,   -0.073,    0.043
HEATFUEL_0 ,    0.0033,    0.032,    0.105, 0.917,   -0.059,    0.066
HEATFUEL_1 ,   -0.0479,    0.029,   -1.640, 0.101,   -0.105,    0.009
HEATFUEL_2 ,   -0.0409,    0.029,   -1.405, 0.161,   -0.098,    0.016
HEATFUEL_3 ,    0.0238,    0.031,    0.772, 0.440,   -0.037,    0.084
HEATFUEL_4 ,   -0.0143,    0.036,   -0.394, 0.693,   -0.086,    0.057
HEATFUEL_5 ,   -0.0582,    0.047,   -1.244, 0.214,   -0.150,    0.034
HEATFUEL_6 ,   -0.0619,    0.072,   -0.865, 0.387,   -0.202,    0.079
HEATFUEL_7 ,   -0.0747,    0.048,   -1.561, 0.119,   -0.169,    0.019
HEATFUEL_9 ,    0.3111,    0.115,    2.707, 0.007,    0.085,    0.537
HEATTYPE_0 ,    0.0033,    0.032,    0.105, 0.917,   -0.059,    0.066
HEATTYPE_1 ,    0.0035,    0.020,    0.177, 0.860,   -0.036,    0.043
HEATTYPE_2 ,   -0.0133,    0.034,   -0.394, 0.694,   -0.080,    0.053
HEATTYPE_3 ,    0.0028,    0.025,    0.112, 0.911,   -0.046,    0.051
HEATTYPE_4 ,    0.0220,    0.027,    0.819, 0.413,   -0.031,    0.075
HEATTYPE_5 ,    0.0443,    0.026,    1.721, 0.086,   -0.006,    0.095
HEATTYPE_6 ,    0.0058,    0.036,    0.162, 0.871,   -0.065,    0.077
HEATTYPE_7 ,    0.0047,    0.033,    0.146, 0.884,   -0.059,    0.069
HEATTYPE_8 ,    0.0213,    0.029,    0.731, 0.465,   -0.036,    0.079
HEATTYPE_9 ,    0.0081,    0.050,    0.162, 0.871,   -0.090,    0.106
HEATTYPE_10,   -0.0650,    0.072,   -0.904, 0.366,   -0.206,    0.076
HEATTYPE_11, 9.781e-17, 4.64e-17,    2.108, 0.035, 6.73e-18, 1.89e-16
HEATTYPE_12,    0.0175,    0.044,    0.394, 0.694,   -0.070,    0.105
HEATTYPE_13,   -0.0150,    0.084,   -0.178, 0.858,   -0.180,    0.150
HHRACE_1.0 ,    0.0273,    0.038,    0.725, 0.469,   -0.047,    0.101
HHRACE_2.0 ,    0.0252,    0.040,    0.636, 0.525,   -0.053,    0.103
HHRACE_3.0 ,   -0.0031,    0.046,   -0.069, 0.945,   -0.093,    0.086
HHRACE_4.0 ,    0.0089,    0.049,    0.184, 0.854,   -0.086,    0.104
HHRACE_5.0 ,   -0.0041,    0.118,   -0.035, 0.972,   -0.236,    0.228
HHRACE_6.0 ,   -0.0140,    0.047,   -0.299, 0.765,   -0.106,    0.078
HOTWATER_0 ,    0.0491,    0.056,    0.876, 0.381,   -0.061,    0.159
HOTWATER_1 ,    0.0084,    0.038,    0.220, 0.826,   -0.066,    0.083
HOTWATER_2 ,    0.0055,    0.040,    0.137, 0.891,   -0.073,    0.084
HOTWATER_3 ,    0.0467,    0.041,    1.134, 0.257,   -0.034,    0.127
HOTWATER_4 ,   -0.0696,    0.064,   -1.093, 0.275,   -0.195,    0.055
HOTWATER_5 ,         0,        0,      nan,   nan,        0,        0
HOTWATER_6 ,         0,        0,      nan,   nan,        0,        0
TENURE_0.0 ,    0.0304,    0.057,    0.529, 0.597,   -0.082,    0.143
TENURE_1.0 ,    0.0072,    0.058,    0.125, 0.901,   -0.106,    0.121
TENURE_2.0 ,    0.0025,    0.058,    0.043, 0.966,   -0.111,    0.116
FIREPLACE  ,   -0.0021,    0.014,   -0.149, 0.882,   -0.029,    0.025
NUMELDERS  ,    0.0047,    0.008,    0.614, 0.539,   -0.010,    0.020
NUMYNGKIDS ,   -0.0110,    0.008,   -1.295, 0.196,   -0.028,    0.006
NUMOLDKIDS ,   -0.0148,    0.006,   -2.614, 0.009,   -0.026,   -0.004
URBAN      ,         0,        0,      nan,   nan,        0,        0
SOLAR      ,   -0.0313,    0.046,   -0.679, 0.497,   -0.122,    0.059
UNITSIZE   ,    0.0070,    0.003,    2.100, 0.036,    0.000,    0.014
YRBUILT    , 2.541e-05,    0.000,    0.122, 0.903,   -0.000,    0.000
Intercept  ,    0.0401,    0.169,    0.237, 0.813,   -0.293,    0.373
Omnibus:      ,423.978,  Durbin-Watson:     ,   2.043
Prob(Omnibus):, 0.000 ,  Jarque-Bera (JB):  ,2738.861
Skew:         , 2.429 ,  Prob(JB):          ,    0.00
Kurtosis:     ,10.741 ,  Cond. No.          ,2.03e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 7.4e-24. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
