                      OLS Regression Results                     
Dep. Variable:   ,BURDEN          ,  R-squared:         ,   0.072
Model:           ,OLS             ,  Adj. R-squared:    ,   0.060
Method:          ,Least Squares   ,  F-statistic:       ,   5.920
Date:            ,Sun, 12 Dec 2021,  Prob (F-statistic):,4.54e-46
Time:            ,22:30:37        ,  Log-Likelihood:    ,  1796.9
No. Observations:,  5160          ,  AIC:               ,  -3458.
Df Residuals:    ,  5092          ,  BIC:               ,  -3013.
Df Model:        ,    67          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
ACPRIMARY_0,    0.0052,    0.014,    0.366, 0.715,   -0.023,    0.033
ACPRIMARY_1,    0.0265,    0.014,    1.867, 0.062,   -0.001,    0.054
ACPRIMARY_2,    0.0701,    0.022,    3.220, 0.001,    0.027,    0.113
ACPRIMARY_3,   -0.0075,    0.065,   -0.115, 0.908,   -0.134,    0.120
ACPRIMARY_4,    0.0111,    0.015,    0.764, 0.445,   -0.017,    0.040
ACPRIMARY_5,   -0.0078,    0.015,   -0.515, 0.607,   -0.038,    0.022
ACPRIMARY_6,   -0.0225,    0.018,   -1.273, 0.203,   -0.057,    0.012
ACPRIMARY_7,   -0.0141,    0.022,   -0.640, 0.522,   -0.057,    0.029
BLD_1      ,    0.0053,    0.012,    0.424, 0.671,   -0.019,    0.030
BLD_2      ,    0.0182,    0.009,    2.113, 0.035,    0.001,    0.035
BLD_3      ,   -0.0038,    0.012,   -0.319, 0.749,   -0.027,    0.019
BLD_4      ,   -0.0056,    0.012,   -0.451, 0.652,   -0.030,    0.019
BLD_5      ,    0.0012,    0.011,    0.110, 0.913,   -0.021,    0.023
BLD_6      ,    0.0172,    0.011,    1.533, 0.125,   -0.005,    0.039
BLD_7      ,    0.0255,    0.012,    2.116, 0.034,    0.002,    0.049
BLD_8      ,    0.0005,    0.013,    0.042, 0.966,   -0.024,    0.025
BLD_9      ,    0.0025,    0.012,    0.202, 0.840,   -0.022,    0.026
COOKFUEL_0 ,   -0.0641,    0.052,   -1.229, 0.219,   -0.166,    0.038
COOKFUEL_1 ,    0.0260,    0.040,    0.655, 0.512,   -0.052,    0.104
COOKFUEL_2 ,    0.0322,    0.040,    0.811, 0.418,   -0.046,    0.110
COOKFUEL_3 ,    0.0315,    0.041,    0.761, 0.447,   -0.050,    0.113
COOKFUEL_4 ,    0.0354,    0.153,    0.231, 0.817,   -0.265,    0.336
DIVISION_1 ,    0.0417,    0.016,    2.673, 0.008,    0.011,    0.072
DIVISION_2 ,    0.0390,    0.012,    3.253, 0.001,    0.015,    0.062
DIVISION_3 ,   -0.0018,    0.010,   -0.182, 0.856,   -0.021,    0.018
DIVISION_4 ,   -0.0323,    0.016,   -2.041, 0.041,   -0.063,   -0.001
DIVISION_5 ,   -0.0028,    0.010,   -0.284, 0.776,   -0.022,    0.017
DIVISION_6 ,   -0.0040,    0.013,   -0.305, 0.761,   -0.029,    0.021
DIVISION_7 ,    0.0065,    0.011,    0.618, 0.537,   -0.014,    0.027
DIVISION_8 ,    0.0165,    0.012,    1.397, 0.162,   -0.007,    0.040
DIVISION_9 ,   -0.0018,    0.010,   -0.171, 0.864,   -0.022,    0.019
HEATFUEL_0 ,   -0.0158,    0.023,   -0.691, 0.489,   -0.060,    0.029
HEATFUEL_1 ,    0.0030,    0.030,    0.099, 0.921,   -0.056,    0.062
HEATFUEL_2 ,    0.0031,    0.030,    0.101, 0.920,   -0.056,    0.063
HEATFUEL_3 ,    0.0320,    0.035,    0.915, 0.360,   -0.037,    0.101
HEATFUEL_4 ,    0.0384,    0.036,    1.070, 0.285,   -0.032,    0.109
HEATFUEL_5 ,    0.0591,    0.054,    1.090, 0.276,   -0.047,    0.165
HEATFUEL_6 ,   -0.1132,    0.161,   -0.704, 0.482,   -0.429,    0.202
HEATFUEL_7 ,   -0.0236,    0.048,   -0.490, 0.624,   -0.118,    0.071
HEATFUEL_9 ,    0.0782,    0.113,    0.694, 0.488,   -0.143,    0.299
HEATTYPE_0 ,   -0.0158,    0.023,   -0.691, 0.489,   -0.060,    0.029
HEATTYPE_1 ,    0.0114,    0.016,    0.697, 0.486,   -0.021,    0.044
HEATTYPE_2 ,    0.0499,    0.020,    2.530, 0.011,    0.011,    0.089
HEATTYPE_3 ,   -0.0041,    0.018,   -0.230, 0.818,   -0.039,    0.031
HEATTYPE_4 ,    0.0155,    0.019,    0.810, 0.418,   -0.022,    0.053
HEATTYPE_5 ,    0.0005,    0.018,    0.030, 0.976,   -0.035,    0.036
HEATTYPE_6 ,    0.0331,    0.034,    0.983, 0.326,   -0.033,    0.099
HEATTYPE_7 ,   -0.0224,    0.035,   -0.632, 0.527,   -0.092,    0.047
HEATTYPE_8 ,    0.0506,    0.021,    2.448, 0.014,    0.010,    0.091
HEATTYPE_9 ,    0.0298,    0.053,    0.567, 0.570,   -0.073,    0.133
HEATTYPE_10,   -0.0139,    0.071,   -0.195, 0.845,   -0.153,    0.126
HEATTYPE_11,    0.0386,    0.083,    0.467, 0.641,   -0.123,    0.201
HEATTYPE_12,   -0.0506,    0.039,   -1.283, 0.200,   -0.128,    0.027
HEATTYPE_13,   -0.0616,    0.073,   -0.841, 0.400,   -0.205,    0.082
HHRACE_1.0 ,    0.0005,    0.014,    0.038, 0.970,   -0.027,    0.028
HHRACE_2.0 ,    0.0257,    0.014,    1.778, 0.075,   -0.003,    0.054
HHRACE_3.0 ,   -0.0308,    0.021,   -1.483, 0.138,   -0.072,    0.010
HHRACE_4.0 ,   -0.0164,    0.017,   -0.976, 0.329,   -0.049,    0.017
HHRACE_5.0 ,    0.0943,    0.037,    2.564, 0.010,    0.022,    0.166
HHRACE_6.0 ,   -0.0122,    0.022,   -0.559, 0.576,   -0.055,    0.031
HOTWATER_0 ,   -0.0581,    0.044,   -1.327, 0.185,   -0.144,    0.028
HOTWATER_1 ,    0.0215,    0.024,    0.892, 0.372,   -0.026,    0.069
HOTWATER_2 ,    0.0201,    0.024,    0.825, 0.410,   -0.028,    0.068
HOTWATER_3 ,    0.0992,    0.031,    3.162, 0.002,    0.038,    0.161
HOTWATER_4 ,    0.0177,    0.036,    0.491, 0.623,   -0.053,    0.088
HOTWATER_5 ,    0.0463,    0.066,    0.699, 0.485,   -0.084,    0.176
HOTWATER_6 ,   -0.0856,    0.108,   -0.795, 0.426,   -0.297,    0.125
TENURE_0.0 ,    0.0485,    0.026,    1.861, 0.063,   -0.003,    0.100
TENURE_1.0 ,    0.0101,    0.024,    0.427, 0.669,   -0.036,    0.057
TENURE_2.0 ,    0.0024,    0.024,    0.100, 0.920,   -0.044,    0.049
FIREPLACE  ,    0.0156,    0.007,    2.346, 0.019,    0.003,    0.029
NUMELDERS  ,    0.0223,    0.004,    5.439, 0.000,    0.014,    0.030
NUMYNGKIDS ,   -0.0127,    0.005,   -2.779, 0.005,   -0.022,   -0.004
NUMOLDKIDS ,   -0.0184,    0.003,   -6.747, 0.000,   -0.024,   -0.013
URBAN      ,    0.0610,    0.069,    0.888, 0.374,   -0.074,    0.196
SOLAR      ,    0.0220,    0.017,    1.259, 0.208,   -0.012,    0.056
UNITSIZE   ,    0.0014,    0.002,    0.740, 0.459,   -0.002,    0.005
YRBUILT    ,-3.956e-05,    0.000,   -0.342, 0.732,   -0.000,    0.000
Intercept  ,    0.0610,    0.069,    0.888, 0.374,   -0.074,    0.196
Omnibus:      ,2574.509,  Durbin-Watson:     ,   2.008 
Prob(Omnibus):, 0.000  ,  Jarque-Bera (JB):  ,13745.040
Skew:         , 2.434  ,  Prob(JB):          ,    0.00 
Kurtosis:     , 9.343  ,  Cond. No.          ,5.56e+16 

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 6.47e-24. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
