Feature,P>|t| ,Feature,P>|t| ,Feature,P>|t| ,Feature,P>|t| ,Feature,P>|t| ,Feature,P>|t| 
ACPRIMARY_0,0,ACPRIMARY_0,0.022,ACPRIMARY_0,0,ACPRIMARY_0,0.964,ACPRIMARY_0,0.992,ACPRIMARY_0,0.715
ACPRIMARY_1,0,ACPRIMARY_1,0.02,ACPRIMARY_1,0,ACPRIMARY_1,0.097,ACPRIMARY_1,0.751,ACPRIMARY_1,0.062
ACPRIMARY_2,0,ACPRIMARY_2,0.001,ACPRIMARY_2,0,ACPRIMARY_2,0.013,ACPRIMARY_2,0.073,ACPRIMARY_2,0.001
ACPRIMARY_3,0.446,ACPRIMARY_3,0.699,ACPRIMARY_3,0.636,ACPRIMARY_3,0.894,ACPRIMARY_3,0.6,ACPRIMARY_3,0.908
ACPRIMARY_4,0,ACPRIMARY_4,0.006,ACPRIMARY_4,0,ACPRIMARY_4,0.787,ACPRIMARY_4,0.84,ACPRIMARY_4,0.445
ACPRIMARY_5,0,ACPRIMARY_5,0.024,ACPRIMARY_5,0,ACPRIMARY_5,0.997,ACPRIMARY_5,0.603,ACPRIMARY_5,0.607
ACPRIMARY_6,0,ACPRIMARY_6,0.007,ACPRIMARY_6,0.002,ACPRIMARY_6,0.779,ACPRIMARY_6,0.477,ACPRIMARY_6,0.203
ACPRIMARY_7,0,ACPRIMARY_7,0.157,ACPRIMARY_7,0.021,ACPRIMARY_7,0.399,ACPRIMARY_7,0.782,ACPRIMARY_7,0.522
BLD_1      ,0,BLD_1      ,0.001,BLD_1      ,0,BLD_1      ,0.548,BLD_1      ,0.645,BLD_1      ,0.671
BLD_2      ,0,BLD_2      ,0.034,BLD_2      ,0,BLD_2      ,0.217,BLD_2      ,0.336,BLD_2      ,0.035
BLD_3      ,0,BLD_3      ,0.169,BLD_3      ,0,BLD_3      ,0.909,BLD_3      ,0.698,BLD_3      ,0.749
BLD_4      ,0,BLD_4      ,0.731,BLD_4      ,0,BLD_4      ,0.72,BLD_4      ,0.917,BLD_4      ,0.652
BLD_5      ,0,BLD_5      ,0.057,BLD_5      ,0,BLD_5      ,0.185,BLD_5      ,0.996,BLD_5      ,0.913
BLD_6      ,0,BLD_6      ,0.93,BLD_6      ,0.002,BLD_6      ,0.282,BLD_6      ,0.221,BLD_6      ,0.125
BLD_7      ,0.02,BLD_7      ,0.099,BLD_7      ,0.878,BLD_7      ,0.008,BLD_7      ,0.796,BLD_7      ,0.034
BLD_8      ,0.028,BLD_8      ,0.012,BLD_8      ,0.898,BLD_8      ,0.701,BLD_8      ,0.295,BLD_8      ,0.966
BLD_9      ,0.002,BLD_9      ,0.053,BLD_9      ,0.089,BLD_9      ,0.996,BLD_9      ,0.938,BLD_9      ,0.84
COOKFUEL_0 ,0.157,COOKFUEL_0 ,0.886,COOKFUEL_0 ,0.256,COOKFUEL_0 ,0.09,COOKFUEL_0 ,0.237,COOKFUEL_0 ,0.219
COOKFUEL_1 ,0,COOKFUEL_1 ,0.007,COOKFUEL_1 ,0.002,COOKFUEL_1 ,0.375,COOKFUEL_1 ,0.697,COOKFUEL_1 ,0.512
COOKFUEL_2 ,0,COOKFUEL_2 ,0.005,COOKFUEL_2 ,0.001,COOKFUEL_2 ,0.271,COOKFUEL_2 ,0.944,COOKFUEL_2 ,0.418
COOKFUEL_3 ,0,COOKFUEL_3 ,0.002,COOKFUEL_3 ,0,COOKFUEL_3 ,0.691,COOKFUEL_3 ,0.978,COOKFUEL_3 ,0.447
COOKFUEL_4 ,0.003,COOKFUEL_4 ,0.21,COOKFUEL_4 ,0.081,COOKFUEL_4 ,0.489,COOKFUEL_4 ,0.31,COOKFUEL_4 ,0.817
DIVISION_1 ,0,DIVISION_1 ,0.005,DIVISION_1 ,0,DIVISION_1 ,0.002,DIVISION_1 ,0.003,DIVISION_1 ,0.008
DIVISION_2 ,0,DIVISION_2 ,0,DIVISION_2 ,0,DIVISION_2 ,0.002,DIVISION_2 ,0.259,DIVISION_2 ,0.001
DIVISION_3 ,0,DIVISION_3 ,0,DIVISION_3 ,0,DIVISION_3 ,0.741,DIVISION_3 ,0.21,DIVISION_3 ,0.856
DIVISION_4 ,0,DIVISION_4 ,0.15,DIVISION_4 ,0.368,DIVISION_4 ,0.102,DIVISION_4 ,0.451,DIVISION_4 ,0.041
DIVISION_5 ,0,DIVISION_5 ,0.002,DIVISION_5 ,0,DIVISION_5 ,0.733,DIVISION_5 ,0.93,DIVISION_5 ,0.776
DIVISION_6 ,0,DIVISION_6 ,0,DIVISION_6 ,0,DIVISION_6 ,0.618,DIVISION_6 ,0.697,DIVISION_6 ,0.761
DIVISION_7 ,0,DIVISION_7 ,0.014,DIVISION_7 ,0,DIVISION_7 ,0.846,DIVISION_7 ,0.737,DIVISION_7 ,0.537
DIVISION_8 ,0,DIVISION_8 ,0.538,DIVISION_8 ,0,DIVISION_8 ,0.689,DIVISION_8 ,0.48,DIVISION_8 ,0.162
DIVISION_9 ,0.002,DIVISION_9 ,0.479,DIVISION_9 ,0.246,DIVISION_9 ,0.496,DIVISION_9 ,0.607,DIVISION_9 ,0.864
HEATFUEL_0 ,0,HEATFUEL_0 ,0.014,HEATFUEL_0 ,0.203,HEATFUEL_0 ,0.881,HEATFUEL_0 ,0.917,HEATFUEL_0 ,0.489
HEATFUEL_1 ,0.365,HEATFUEL_1 ,0.055,HEATFUEL_1 ,0.086,HEATFUEL_1 ,0.837,HEATFUEL_1 ,0.101,HEATFUEL_1 ,0.921
HEATFUEL_2 ,0.963,HEATFUEL_2 ,0.36,HEATFUEL_2 ,0.386,HEATFUEL_2 ,0.911,HEATFUEL_2 ,0.161,HEATFUEL_2 ,0.92
HEATFUEL_3 ,0,HEATFUEL_3 ,0,HEATFUEL_3 ,0,HEATFUEL_3 ,0.068,HEATFUEL_3 ,0.44,HEATFUEL_3 ,0.36
HEATFUEL_4 ,0.001,HEATFUEL_4 ,0.001,HEATFUEL_4 ,0,HEATFUEL_4 ,0.016,HEATFUEL_4 ,0.693,HEATFUEL_4 ,0.285
HEATFUEL_5 ,0.003,HEATFUEL_5 ,0.075,HEATFUEL_5 ,0.008,HEATFUEL_5 ,0.513,HEATFUEL_5 ,0.214,HEATFUEL_5 ,0.276
HEATFUEL_6 ,0.063,HEATFUEL_6 ,0.221,HEATFUEL_6 ,0.491,HEATFUEL_6 ,0.463,HEATFUEL_6 ,0.387,HEATFUEL_6 ,0.482
HEATFUEL_7 ,0.365,HEATFUEL_7 ,0.446,HEATFUEL_7 ,0.056,HEATFUEL_7 ,0.559,HEATFUEL_7 ,0.119,HEATFUEL_7 ,0.624
HEATFUEL_9 ,0.082,HEATFUEL_9 ,0.668,HEATFUEL_9 ,0.968,HEATFUEL_9 ,0.825,HEATFUEL_9 ,0.007,HEATFUEL_9 ,0.488
HEATTYPE_0 ,0,HEATTYPE_0 ,0.014,HEATTYPE_0 ,0.203,HEATTYPE_0 ,0.881,HEATTYPE_0 ,0.917,HEATTYPE_0 ,0.489
HEATTYPE_1 ,0,HEATTYPE_1 ,0.026,HEATTYPE_1 ,0.143,HEATTYPE_1 ,0.673,HEATTYPE_1 ,0.86,HEATTYPE_1 ,0.486
HEATTYPE_2 ,0,HEATTYPE_2 ,0.669,HEATTYPE_2 ,0.006,HEATTYPE_2 ,0.01,HEATTYPE_2 ,0.694,HEATTYPE_2 ,0.011
HEATTYPE_3 ,0.004,HEATTYPE_3 ,0.162,HEATTYPE_3 ,0.399,HEATTYPE_3 ,0.811,HEATTYPE_3 ,0.911,HEATTYPE_3 ,0.818
HEATTYPE_4 ,0,HEATTYPE_4 ,0.001,HEATTYPE_4 ,0.251,HEATTYPE_4 ,0.314,HEATTYPE_4 ,0.413,HEATTYPE_4 ,0.418
HEATTYPE_5 ,0,HEATTYPE_5 ,0,HEATTYPE_5 ,0.133,HEATTYPE_5 ,0.607,HEATTYPE_5 ,0.086,HEATTYPE_5 ,0.976
HEATTYPE_6 ,0.087,HEATTYPE_6 ,0.037,HEATTYPE_6 ,0.965,HEATTYPE_6 ,0.733,HEATTYPE_6 ,0.871,HEATTYPE_6 ,0.326
HEATTYPE_7 ,0.001,HEATTYPE_7 ,0.037,HEATTYPE_7 ,0,HEATTYPE_7 ,0.81,HEATTYPE_7 ,0.884,HEATTYPE_7 ,0.527
HEATTYPE_8 ,0,HEATTYPE_8 ,0.221,HEATTYPE_8 ,0.126,HEATTYPE_8 ,0.014,HEATTYPE_8 ,0.465,HEATTYPE_8 ,0.014
HEATTYPE_9 ,0.247,HEATTYPE_9 ,0.064,HEATTYPE_9 ,0.407,HEATTYPE_9 ,0.583,HEATTYPE_9 ,0.871,HEATTYPE_9 ,0.57
HEATTYPE_10,0.181,HEATTYPE_10,0.735,HEATTYPE_10,0.063,HEATTYPE_10,0.551,HEATTYPE_10,0.366,HEATTYPE_10,0.845
HEATTYPE_11,0.368,HEATTYPE_11,0.523,HEATTYPE_11,0.203,HEATTYPE_11,0.531,HEATTYPE_11,0.035,HEATTYPE_11,0.641
HEATTYPE_12,0.956,HEATTYPE_12,0.168,HEATTYPE_12,0.057,HEATTYPE_12,0.326,HEATTYPE_12,0.694,HEATTYPE_12,0.2
HEATTYPE_13,0.924,HEATTYPE_13,0.272,HEATTYPE_13,0.891,HEATTYPE_13,0.122,HEATTYPE_13,0.858,HEATTYPE_13,0.4
HHRACE_1.0 ,0,HHRACE_1.0 ,0.03,HHRACE_1.0 ,0,HHRACE_1.0 ,0.392,HHRACE_1.0 ,0.469,HHRACE_1.0 ,0.97
HHRACE_2.0 ,0,HHRACE_2.0 ,0.039,HHRACE_2.0 ,0,HHRACE_2.0 ,0.028,HHRACE_2.0 ,0.525,HHRACE_2.0 ,0.075
HHRACE_3.0 ,0,HHRACE_3.0 ,0.002,HHRACE_3.0 ,0,HHRACE_3.0 ,0.726,HHRACE_3.0 ,0.945,HHRACE_3.0 ,0.138
HHRACE_4.0 ,0,HHRACE_4.0 ,0.057,HHRACE_4.0 ,0.001,HHRACE_4.0 ,0.636,HHRACE_4.0 ,0.854,HHRACE_4.0 ,0.329
HHRACE_5.0 ,0,HHRACE_5.0 ,0.363,HHRACE_5.0 ,0.004,HHRACE_5.0 ,0.584,HHRACE_5.0 ,0.972,HHRACE_5.0 ,0.01
HHRACE_6.0 ,0,HHRACE_6.0 ,0.064,HHRACE_6.0 ,0.007,HHRACE_6.0 ,0.964,HHRACE_6.0 ,0.765,HHRACE_6.0 ,0.576
HOTWATER_0 ,0.002,HOTWATER_0 ,0.07,HOTWATER_0 ,0.974,HOTWATER_0 ,0.671,HOTWATER_0 ,0.381,HOTWATER_0 ,0.185
HOTWATER_1 ,0,HOTWATER_1 ,0.001,HOTWATER_1 ,0,HOTWATER_1 ,0.536,HOTWATER_1 ,0.826,HOTWATER_1 ,0.372
HOTWATER_2 ,0,HOTWATER_2 ,0.007,HOTWATER_2 ,0,HOTWATER_2 ,0.515,HOTWATER_2 ,0.891,HOTWATER_2 ,0.41
HOTWATER_3 ,0,HOTWATER_3 ,0,HOTWATER_3 ,0.002,HOTWATER_3 ,0.002,HOTWATER_3 ,0.257,HOTWATER_3 ,0.002
HOTWATER_4 ,0,HOTWATER_4 ,0.09,HOTWATER_4 ,0.013,HOTWATER_4 ,0.667,HOTWATER_4 ,0.275,HOTWATER_4 ,0.623
HOTWATER_5 ,0.33,HOTWATER_5 ,0.716,HOTWATER_5 ,0.069,HOTWATER_5 ,0.6,HOTWATER_5 ,   nan,HOTWATER_5 ,0.485
HOTWATER_6 ,0.279,HOTWATER_6 ,0.833,HOTWATER_6 ,0.293,HOTWATER_6 ,0.431,HOTWATER_6 ,   nan,HOTWATER_6 ,0.426
TENURE_0.0 ,0,TENURE_0.0 ,0,TENURE_0.0 ,0,TENURE_0.0 ,0.147,TENURE_0.0 ,0.597,TENURE_0.0 ,0.063
TENURE_1.0 ,0,TENURE_1.0 ,0.019,TENURE_1.0 ,0,TENURE_1.0 ,0.807,TENURE_1.0 ,0.901,TENURE_1.0 ,0.669
TENURE_2.0 ,0,TENURE_2.0 ,0.001,TENURE_2.0 ,0,TENURE_2.0 ,0.957,TENURE_2.0 ,0.966,TENURE_2.0 ,0.92
FIREPLACE  ,0,FIREPLACE  ,0.049,FIREPLACE  ,0,FIREPLACE  ,0.083,FIREPLACE  ,0.882,FIREPLACE  ,0.019
NUMELDERS  ,0,NUMELDERS  ,0,NUMELDERS  ,0,NUMELDERS  ,0,NUMELDERS  ,0.539,NUMELDERS  ,0
NUMYNGKIDS ,0.002,NUMYNGKIDS ,0.018,NUMYNGKIDS ,0,NUMYNGKIDS ,0.008,NUMYNGKIDS ,0.196,NUMYNGKIDS ,0.005
NUMOLDKIDS ,0,NUMOLDKIDS ,0.137,NUMOLDKIDS ,0,NUMOLDKIDS ,0,NUMOLDKIDS ,0.009,NUMOLDKIDS ,0
URBAN      ,0,URBAN      ,   nan,URBAN      ,0,URBAN      ,0.037,URBAN      ,   nan,URBAN      ,0.374
SOLAR      ,0.341,SOLAR      ,0.253,SOLAR      ,0.482,SOLAR      ,0.235,SOLAR      ,0.497,SOLAR      ,0.208
UNITSIZE   ,0,UNITSIZE   ,0.014,UNITSIZE   ,0,UNITSIZE   ,0.018,UNITSIZE   ,0.036,UNITSIZE   ,0.459
YRBUILT    ,0,YRBUILT    ,0.006,YRBUILT    ,0,YRBUILT    ,0.944,YRBUILT    ,0.903,YRBUILT    ,0.732
