Rural/Urban,Predictor Set,Income Level,Regions,Predictors
Rural,Demographic,ALL,ALL,"['HHRACE_1.0', 'HHRACE_2.0', 'HHRACE_3.0', 'HHRACE_4.0', 'HHRACE_5.0', 'HHRACE_6.0','TENURE_0.0', 'TENURE_1.0', 'TENURE_2.0', 'NUMELDERS', 'NUMYNGKIDS', 'NUMOLDKIDS', 'DIVISION_1','DIVISION_2','DIVISION_3','DIVISION_4','DIVISION_5', 'DIVISION_6','DIVISION_7','DIVISION_8','DIVISION_9']"
Urban,Demographic,ALL,ALL,"['HHRACE_1.0', 'HHRACE_2.0', 'HHRACE_3.0', 'HHRACE_4.0', 'HHRACE_5.0', 'HHRACE_6.0','TENURE_0.0', 'TENURE_1.0', 'TENURE_2.0', 'NUMELDERS', 'NUMYNGKIDS', 'NUMOLDKIDS', 'DIVISION_1','DIVISION_2','DIVISION_3','DIVISION_4','DIVISION_5', 'DIVISION_6','DIVISION_7','DIVISION_8','DIVISION_9']"
Both,Demographic,ALL,ALL,"['HHRACE_1.0', 'HHRACE_2.0', 'HHRACE_3.0', 'HHRACE_4.0', 'HHRACE_5.0', 'HHRACE_6.0','TENURE_0.0', 'TENURE_1.0', 'TENURE_2.0', 'NUMELDERS', 'NUMYNGKIDS', 'NUMOLDKIDS', 'DIVISION_1','DIVISION_2','DIVISION_3','DIVISION_4','DIVISION_5', 'DIVISION_6','DIVISION_7','DIVISION_8','DIVISION_9', 'URBAN']"
Rural,Housing,ALL,ALL,"['ACPRIMARY_0', 'ACPRIMARY_1', 'ACPRIMARY_2', 'ACPRIMARY_3', 'ACPRIMARY_4', 'ACPRIMARY_5', 'ACPRIMARY_6', 'ACPRIMARY_7', 'BLD_1', 'BLD_2', 'BLD_3', 'BLD_4', 'BLD_5', 'BLD_6', 'BLD_7', 'BLD_8', 'BLD_9', 'COOKFUEL_0', 'COOKFUEL_1', 'COOKFUEL_2', 'COOKFUEL_3', 'COOKFUEL_4', 'HEATFUEL_0', 'HEATFUEL_1', 'HEATFUEL_2', 'HEATFUEL_3', 'HEATFUEL_4', 'HEATFUEL_5', 'HEATFUEL_6', 'HEATFUEL_7', 'HEATFUEL_8', 'HEATFUEL_9', 'HEATTYPE_0', 'HEATTYPE_1', 'HEATTYPE_2', 'HEATTYPE_3', 'HEATTYPE_4', 'HEATTYPE_5', 'HEATTYPE_6', 'HEATTYPE_7', 'HEATTYPE_8', 'HEATTYPE_9', 'HEATTYPE_10', 'HEATTYPE_11', 'HEATTYPE_12', 'HEATTYPE_13', 'HOTWATER_0', 'HOTWATER_1', 'HOTWATER_2', 'HOTWATER_3', 'HOTWATER_4', 'HOTWATER_5', 'HOTWATER_6', 'FIREPLACE', 'SOLAR', 'UNITSIZE', 'YRBUILT']"
Urban,Housing,ALL,ALL,"['ACPRIMARY_0', 'ACPRIMARY_1', 'ACPRIMARY_2', 'ACPRIMARY_3', 'ACPRIMARY_4', 'ACPRIMARY_5', 'ACPRIMARY_6', 'ACPRIMARY_7', 'BLD_1', 'BLD_2', 'BLD_3', 'BLD_4', 'BLD_5', 'BLD_6', 'BLD_7', 'BLD_8', 'BLD_9', 'COOKFUEL_0', 'COOKFUEL_1', 'COOKFUEL_2', 'COOKFUEL_3', 'COOKFUEL_4', 'HEATFUEL_0', 'HEATFUEL_1', 'HEATFUEL_2', 'HEATFUEL_3', 'HEATFUEL_4', 'HEATFUEL_5', 'HEATFUEL_6', 'HEATFUEL_7', 'HEATFUEL_8', 'HEATFUEL_9', 'HEATTYPE_0', 'HEATTYPE_1', 'HEATTYPE_2', 'HEATTYPE_3', 'HEATTYPE_4', 'HEATTYPE_5', 'HEATTYPE_6', 'HEATTYPE_7', 'HEATTYPE_8', 'HEATTYPE_9', 'HEATTYPE_10', 'HEATTYPE_11', 'HEATTYPE_12', 'HEATTYPE_13', 'HOTWATER_0', 'HOTWATER_1', 'HOTWATER_2', 'HOTWATER_3', 'HOTWATER_4', 'HOTWATER_5', 'HOTWATER_6', 'FIREPLACE', 'SOLAR', 'UNITSIZE', 'YRBUILT']"
Both,Housing,ALL,ALL,"['ACPRIMARY_0', 'ACPRIMARY_1', 'ACPRIMARY_2', 'ACPRIMARY_3', 'ACPRIMARY_4', 'ACPRIMARY_5', 'ACPRIMARY_6', 'ACPRIMARY_7', 'BLD_1', 'BLD_2', 'BLD_3', 'BLD_4', 'BLD_5', 'BLD_6', 'BLD_7', 'BLD_8', 'BLD_9', 'COOKFUEL_0', 'COOKFUEL_1', 'COOKFUEL_2', 'COOKFUEL_3', 'COOKFUEL_4', 'HEATFUEL_0', 'HEATFUEL_1', 'HEATFUEL_2', 'HEATFUEL_3', 'HEATFUEL_4', 'HEATFUEL_5', 'HEATFUEL_6', 'HEATFUEL_7', 'HEATFUEL_8', 'HEATFUEL_9', 'HEATTYPE_0', 'HEATTYPE_1', 'HEATTYPE_2', 'HEATTYPE_3', 'HEATTYPE_4', 'HEATTYPE_5', 'HEATTYPE_6', 'HEATTYPE_7', 'HEATTYPE_8', 'HEATTYPE_9', 'HEATTYPE_10', 'HEATTYPE_11', 'HEATTYPE_12', 'HEATTYPE_13', 'HOTWATER_0', 'HOTWATER_1', 'HOTWATER_2', 'HOTWATER_3', 'HOTWATER_4', 'HOTWATER_5', 'HOTWATER_6', 'FIREPLACE', 'SOLAR', 'UNITSIZE', 'YRBUILT', 'URBAN']"
Rural,ALL,ALL,ALL,"['ACPRIMARY_0', 'ACPRIMARY_1', 'ACPRIMARY_2', 'ACPRIMARY_3', 'ACPRIMARY_4', 'ACPRIMARY_5', 'ACPRIMARY_6', 'ACPRIMARY_7', 'BLD_1', 'BLD_2', 'BLD_3', 'BLD_4', 'BLD_5', 'BLD_6', 'BLD_7', 'BLD_8', 'BLD_9', 'COOKFUEL_0', 'COOKFUEL_1', 'COOKFUEL_2', 'COOKFUEL_3', 'COOKFUEL_4', 'DIVISION_1', 'DIVISION_2', 'DIVISION_3', 'DIVISION_4', 'DIVISION_5', 'DIVISION_6', 'DIVISION_7', 'DIVISION_8', 'DIVISION_9', 'HEATFUEL_0', 'HEATFUEL_1', 'HEATFUEL_2', 'HEATFUEL_3', 'HEATFUEL_4', 'HEATFUEL_5', 'HEATFUEL_6', 'HEATFUEL_7', 'HEATFUEL_8', 'HEATFUEL_9', 'HEATTYPE_0', 'HEATTYPE_1', 'HEATTYPE_2', 'HEATTYPE_3', 'HEATTYPE_4', 'HEATTYPE_5', 'HEATTYPE_6', 'HEATTYPE_7', 'HEATTYPE_8', 'HEATTYPE_9', 'HEATTYPE_10', 'HEATTYPE_11', 'HEATTYPE_12', 'HEATTYPE_13', 'HHRACE_1.0', 'HHRACE_2.0', 'HHRACE_3.0', 'HHRACE_4.0', 'HHRACE_5.0', 'HHRACE_6.0', 'HOTWATER_0', 'HOTWATER_1', 'HOTWATER_2', 'HOTWATER_3', 'HOTWATER_4', 'HOTWATER_5', 'HOTWATER_6', 'TENURE_0.0', 'TENURE_1.0', 'TENURE_2.0', 'FIREPLACE', 'NUMELDERS', 'NUMYNGKIDS', 'NUMOLDKIDS',  'SOLAR', 'UNITSIZE', 'YRBUILT']"
Urban,ALL,ALL,ALL,"['ACPRIMARY_0', 'ACPRIMARY_1', 'ACPRIMARY_2', 'ACPRIMARY_3', 'ACPRIMARY_4', 'ACPRIMARY_5', 'ACPRIMARY_6', 'ACPRIMARY_7', 'BLD_1', 'BLD_2', 'BLD_3', 'BLD_4', 'BLD_5', 'BLD_6', 'BLD_7', 'BLD_8', 'BLD_9', 'COOKFUEL_0', 'COOKFUEL_1', 'COOKFUEL_2', 'COOKFUEL_3', 'COOKFUEL_4', 'DIVISION_1', 'DIVISION_2', 'DIVISION_3', 'DIVISION_4', 'DIVISION_5', 'DIVISION_6', 'DIVISION_7', 'DIVISION_8', 'DIVISION_9', 'HEATFUEL_0', 'HEATFUEL_1', 'HEATFUEL_2', 'HEATFUEL_3', 'HEATFUEL_4', 'HEATFUEL_5', 'HEATFUEL_6', 'HEATFUEL_7', 'HEATFUEL_8', 'HEATFUEL_9', 'HEATTYPE_0', 'HEATTYPE_1', 'HEATTYPE_2', 'HEATTYPE_3', 'HEATTYPE_4', 'HEATTYPE_5', 'HEATTYPE_6', 'HEATTYPE_7', 'HEATTYPE_8', 'HEATTYPE_9', 'HEATTYPE_10', 'HEATTYPE_11', 'HEATTYPE_12', 'HEATTYPE_13', 'HHRACE_1.0', 'HHRACE_2.0', 'HHRACE_3.0', 'HHRACE_4.0', 'HHRACE_5.0', 'HHRACE_6.0', 'HOTWATER_0', 'HOTWATER_1', 'HOTWATER_2', 'HOTWATER_3', 'HOTWATER_4', 'HOTWATER_5', 'HOTWATER_6', 'TENURE_0.0', 'TENURE_1.0', 'TENURE_2.0', 'FIREPLACE', 'NUMELDERS', 'NUMYNGKIDS', 'NUMOLDKIDS',  'SOLAR', 'UNITSIZE', 'YRBUILT']"
Both,ALL,ALL,ALL,"['ACPRIMARY_0', 'ACPRIMARY_1', 'ACPRIMARY_2', 'ACPRIMARY_3', 'ACPRIMARY_4', 'ACPRIMARY_5', 'ACPRIMARY_6', 'ACPRIMARY_7', 'BLD_1', 'BLD_2', 'BLD_3', 'BLD_4', 'BLD_5', 'BLD_6', 'BLD_7', 'BLD_8', 'BLD_9', 'COOKFUEL_0', 'COOKFUEL_1', 'COOKFUEL_2', 'COOKFUEL_3', 'COOKFUEL_4', 'DIVISION_1', 'DIVISION_2', 'DIVISION_3', 'DIVISION_4', 'DIVISION_5', 'DIVISION_6', 'DIVISION_7', 'DIVISION_8', 'DIVISION_9', 'HEATFUEL_0', 'HEATFUEL_1', 'HEATFUEL_2', 'HEATFUEL_3', 'HEATFUEL_4', 'HEATFUEL_5', 'HEATFUEL_6', 'HEATFUEL_7', 'HEATFUEL_8', 'HEATFUEL_9', 'HEATTYPE_0', 'HEATTYPE_1', 'HEATTYPE_2', 'HEATTYPE_3', 'HEATTYPE_4', 'HEATTYPE_5', 'HEATTYPE_6', 'HEATTYPE_7', 'HEATTYPE_8', 'HEATTYPE_9', 'HEATTYPE_10', 'HEATTYPE_11', 'HEATTYPE_12', 'HEATTYPE_13', 'HHRACE_1.0', 'HHRACE_2.0', 'HHRACE_3.0', 'HHRACE_4.0', 'HHRACE_5.0', 'HHRACE_6.0', 'HOTWATER_0', 'HOTWATER_1', 'HOTWATER_2', 'HOTWATER_3', 'HOTWATER_4', 'HOTWATER_5', 'HOTWATER_6', 'TENURE_0.0', 'TENURE_1.0', 'TENURE_2.0', 'FIREPLACE', 'NUMELDERS', 'NUMYNGKIDS', 'NUMOLDKIDS', 'URBAN', 'SOLAR', 'UNITSIZE', 'YRBUILT']"
Rural,Demographic,Low Income,ALL,"['HHRACE_1.0', 'HHRACE_2.0', 'HHRACE_3.0', 'HHRACE_4.0', 'HHRACE_5.0', 'HHRACE_6.0','TENURE_0.0', 'TENURE_1.0', 'TENURE_2.0', 'NUMELDERS', 'NUMYNGKIDS', 'NUMOLDKIDS', 'DIVISION_1','DIVISION_2','DIVISION_3','DIVISION_4','DIVISION_5', 'DIVISION_6','DIVISION_7','DIVISION_8','DIVISION_9']"
Urban,Demographic,Low Income,ALL,"['HHRACE_1.0', 'HHRACE_2.0', 'HHRACE_3.0', 'HHRACE_4.0', 'HHRACE_5.0', 'HHRACE_6.0','TENURE_0.0', 'TENURE_1.0', 'TENURE_2.0', 'NUMELDERS', 'NUMYNGKIDS', 'NUMOLDKIDS', 'DIVISION_1','DIVISION_2','DIVISION_3','DIVISION_4','DIVISION_5', 'DIVISION_6','DIVISION_7','DIVISION_8','DIVISION_9']"
Both,Demographic,Low Income,ALL,"['HHRACE_1.0', 'HHRACE_2.0', 'HHRACE_3.0', 'HHRACE_4.0', 'HHRACE_5.0', 'HHRACE_6.0','TENURE_0.0', 'TENURE_1.0', 'TENURE_2.0', 'NUMELDERS', 'NUMYNGKIDS', 'NUMOLDKIDS', 'DIVISION_1','DIVISION_2','DIVISION_3','DIVISION_4','DIVISION_5', 'DIVISION_6','DIVISION_7','DIVISION_8','DIVISION_9', 'URBAN']"
Rural,Housing,Low Income,ALL,"['ACPRIMARY_0', 'ACPRIMARY_1', 'ACPRIMARY_2', 'ACPRIMARY_3', 'ACPRIMARY_4', 'ACPRIMARY_5', 'ACPRIMARY_6', 'ACPRIMARY_7', 'BLD_1', 'BLD_2', 'BLD_3', 'BLD_4', 'BLD_5', 'BLD_6', 'BLD_7', 'BLD_8', 'BLD_9', 'COOKFUEL_0', 'COOKFUEL_1', 'COOKFUEL_2', 'COOKFUEL_3', 'COOKFUEL_4', 'HEATFUEL_0', 'HEATFUEL_1', 'HEATFUEL_2', 'HEATFUEL_3', 'HEATFUEL_4', 'HEATFUEL_5', 'HEATFUEL_6', 'HEATFUEL_7', 'HEATFUEL_9', 'HEATTYPE_0', 'HEATTYPE_1', 'HEATTYPE_2', 'HEATTYPE_3', 'HEATTYPE_4', 'HEATTYPE_5', 'HEATTYPE_6', 'HEATTYPE_7', 'HEATTYPE_8', 'HEATTYPE_9', 'HEATTYPE_10', 'HEATTYPE_11', 'HEATTYPE_12', 'HEATTYPE_13', 'HOTWATER_0', 'HOTWATER_1', 'HOTWATER_2', 'HOTWATER_3', 'HOTWATER_4', 'HOTWATER_5', 'HOTWATER_6', 'FIREPLACE', 'SOLAR', 'UNITSIZE', 'YRBUILT']"
Urban,Housing,Low Income,ALL,"['ACPRIMARY_0', 'ACPRIMARY_1', 'ACPRIMARY_2', 'ACPRIMARY_3', 'ACPRIMARY_4', 'ACPRIMARY_5', 'ACPRIMARY_6', 'ACPRIMARY_7', 'BLD_1', 'BLD_2', 'BLD_3', 'BLD_4', 'BLD_5', 'BLD_6', 'BLD_7', 'BLD_8', 'BLD_9', 'COOKFUEL_0', 'COOKFUEL_1', 'COOKFUEL_2', 'COOKFUEL_3', 'COOKFUEL_4', 'HEATFUEL_0', 'HEATFUEL_1', 'HEATFUEL_2', 'HEATFUEL_3', 'HEATFUEL_4', 'HEATFUEL_5', 'HEATFUEL_6', 'HEATFUEL_7', 'HEATFUEL_9', 'HEATTYPE_0', 'HEATTYPE_1', 'HEATTYPE_2', 'HEATTYPE_3', 'HEATTYPE_4', 'HEATTYPE_5', 'HEATTYPE_6', 'HEATTYPE_7', 'HEATTYPE_8', 'HEATTYPE_9', 'HEATTYPE_10', 'HEATTYPE_11', 'HEATTYPE_12', 'HEATTYPE_13', 'HOTWATER_0', 'HOTWATER_1', 'HOTWATER_2', 'HOTWATER_3', 'HOTWATER_4', 'HOTWATER_5', 'HOTWATER_6', 'FIREPLACE', 'SOLAR', 'UNITSIZE', 'YRBUILT']"
