,BURDEN,,,,,
8011,-0.6,,,,Burden,Percentile
22796,-0.216,,,0.05,0.0070588235,5th
19651,0,,,0.1,0.0099,10th
36623,0,,,0.15,0.0123,15th
26475,0,,,0.2,0.014545455,20th
31305,0,,,0.25,0.0167,25th
26478,0,,,0.3,0.0188,30th
14556,0,,,0.35,0.0210,35th
7062,0,,,0.4,0.023571429,40th
5083,0,,,0.45,0.0261,45th
17357,0,,,0.5,0.0290,50th
26635,0,,,0.55,0.0324,55th
18412,0,,,0.6,0.036000758,60th
30951,0,,,0.65,0.0409,65th
14329,0,,,0.7,0.0469,70th
5963,0,,,0.75,0.0545,75th
36380,0,,,0.8,0.065000000,80th
350,0,,,0.85,0.0813,85th
19657,0,,,0.9,0.11,90th
4382,0,,,0.95,0.20,95th
26424,0,,,0.99,1.3068144,99th
40303,0,,,,,
42241,0,,,,,
25179,0,,,,,
15464,0,,,,,
36869,0,,,,,
18194,0,,,,,
2373,0,,,,,
25616,0,,,,,
30795,0,,,,,
44615,0,,,,,
18229,0,,,,,
19751,0,,,,,
14996,0,,,,,
3078,0,,,,,
7821,0,,,,,
959,0,,,,,
31627,0,,,,,
25765,0,,,,,
30791,0,,,,,
36347,0,,,,,
27091,0,,,,,
13279,0,,,,,
7586,0,,,,,
18848,0,,,,,
4200,0,,,,,
4250,0,,,,,
28614,0,,,,,
39351,0,,,,,
18892,0,,,,,
1435,0,,,,,
4208,0,,,,,
28708,0,,,,,
5793,0,,,,,
4220,0,,,,,
18961,0,,,,,
7840,0,,,,,
29829,0,,,,,
13294,0,,,,,
2961,0,,,,,
5904,0,,,,,
27172,0,,,,,
43541,0,,,,,
1095,0,,,,,
11150,0,,,,,
36317,0,,,,,
18494,0,,,,,
36142,0,,,,,
24958,0,,,,,
27574,0,,,,,
36088,0,,,,,
4805,0,,,,,
40114,0,,,,,
30155,0,,,,,
13504,0,,,,,
42033,0,,,,,
35071,0,,,,,
1137,0,,,,,
32193,0,,,,,
4230,0,,,,,
33462,0,,,,,
24258,0,,,,,
32457,0,,,,,
22280,0,,,,,
3021,0,,,,,
781,0,,,,,
20304,0,,,,,
24079,0,,,,,
