Feature,Importance
YRBUILT,0.15915380123452108
UNITSIZE,0.09883787869507686
NUMELDERS,0.040122054173647226
FIREPLACE,0.03153515576447017
NUMOLDKIDS,0.028531916202926975
COOKFUEL_2,0.02318961752082274
DIVISION_5,0.022507422671146377
HEATTYPE_1,0.02089986979113295
COOKFUEL_1,0.020573913863770436
DIVISION_7,0.019958133810128707
HOTWATER_2,0.019859601516494445
HOTWATER_1,0.01903568807292413
DIVISION_8,0.018389710059346136
NUMYNGKIDS,0.01752891740952869
ACPRIMARY_1,0.017375517271585015
HEATFUEL_2,0.017133081054055428
BLD_6,0.01687598853597222
HEATFUEL_1,0.016312445037967443
URBAN,0.016278121608805922
HEATTYPE_3,0.016236422571847986
HHRACE_2.0,0.015825972290332287
BLD_7,0.015375909872973131
DIVISION_3,0.01520369200114262
BLD_2,0.01444354967271955
TENURE_1.0,0.014436474973551201
DIVISION_9,0.014390985270705285
ACPRIMARY_0,0.013758631812817479
ACPRIMARY_4,0.012351567113702567
HEATTYPE_5,0.011877926079532404
DIVISION_2,0.010376115216120776
BLD_5,0.010334959361036069
TENURE_2.0,0.010173810822547098
HEATTYPE_2,0.010161450077616187
BLD_3,0.010065605421919796
BLD_9,0.009867713311481504
DIVISION_6,0.00964561025887365
BLD_1,0.009567580548901148
BLD_8,0.009421424822964243
HHRACE_1.0,0.009085813634511246
BLD_4,0.009019685640974499
DIVISION_1,0.008718285070035438
HEATTYPE_8,0.008682351216401756
ACPRIMARY_5,0.008322482062650925
DIVISION_4,0.008029001232492984
HEATTYPE_4,0.007911054247958467
HHRACE_4.0,0.007394864210015191
SOLAR,0.006658767835324966
ACPRIMARY_7,0.006235735110385116
ACPRIMARY_6,0.006098675517463241
COOKFUEL_3,0.005988555078468917
ACPRIMARY_2,0.005975449675997768
TENURE_0.0,0.005885745529677867
HOTWATER_3,0.005513942479250516
HHRACE_3.0,0.0050848283850548365
HOTWATER_4,0.004764708817197986
HEATFUEL_3,0.0038963694284858985
HEATFUEL_4,0.0030426838507902703
HEATTYPE_7,0.002435272377115155
COOKFUEL_0,0.00155785873367774
HEATTYPE_6,0.0015546105030006402
HEATFUEL_5,0.0015425024693781735
HEATTYPE_9,0.001318874299035703
HEATTYPE_12,0.0013128240560927958
HEATFUEL_7,0.0012421996042753208
HOTWATER_0,0.0012111196353999608
HHRACE_6.0,0.0011774374040188465
HEATTYPE_11,0.0005693855624626461
HOTWATER_5,0.00047657523441789137
HHRACE_5.0,0.00035005205622470816
HEATTYPE_0,0.00033109623768031674
HEATFUEL_0,0.00029902815023216206
HEATTYPE_13,0.00019827112725226333
HEATTYPE_10,0.00014042403458773195
ACPRIMARY_3,0.00012869582970842492
HEATFUEL_6,0.00012106887447212386
HOTWATER_6,4.4390344877440727e-05
COOKFUEL_4,3.457356162103498e-05
HEATFUEL_9,2.1017523014247724e-05
HEATFUEL_8,9.487563209001743e-06
