,ACPRIMARY_0,ACPRIMARY_1,ACPRIMARY_2,ACPRIMARY_3,ACPRIMARY_4,ACPRIMARY_5,ACPRIMARY_6,ACPRIMARY_7,BLD_1,BLD_2,BLD_3,BLD_4,BLD_5,BLD_6,BLD_7,BLD_8,BLD_9,COOKFUEL_0,COOKFUEL_1,COOKFUEL_2,COOKFUEL_3,COOKFUEL_4,DIVISION_1,DIVISION_2,DIVISION_3,DIVISION_4,DIVISION_5,DIVISION_6,DIVISION_7,DIVISION_8,DIVISION_9,HEATFUEL_0,HEATFUEL_1,HEATFUEL_2,HEATFUEL_3,HEATFUEL_4,HEATFUEL_5,HEATFUEL_6,HEATFUEL_7,HEATFUEL_9,HEATTYPE_0,HEATTYPE_1,HEATTYPE_2,HEATTYPE_3,HEATTYPE_4,HEATTYPE_5,HEATTYPE_6,HEATTYPE_7,HEATTYPE_8,HEATTYPE_9,HEATTYPE_10,HEATTYPE_11,HEATTYPE_12,HEATTYPE_13,HHRACE_1.0,HHRACE_2.0,HHRACE_3.0,HHRACE_4.0,HHRACE_5.0,HHRACE_6.0,HOTWATER_0,HOTWATER_1,HOTWATER_2,HOTWATER_3,HOTWATER_4,HOTWATER_5,HOTWATER_6,TENURE_0.0,TENURE_1.0,TENURE_2.0,FIREPLACE,NUMELDERS,NUMYNGKIDS,NUMOLDKIDS,URBAN,SOLAR,UNITSIZE,YRBUILT,HINCP,OTHERAMT,OILAMT,GASAMT,ELECAMT,NUMPEOPLE,HHAGE,METRO,BURDEN,NUMKIDS,POVTHRESH,LITHRESH
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1,0.0,3.0,1930,20400.0,0.0,0.0,50.0,100.0,2.0,80.0,99998,0.08823529411764698,0.0,15453,23179.5
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1,0.0,2.0,1960,14400.0,0.0,0.0,0.0,100.0,2.0,30.0,99998,0.0833333333333333,0.0,17120,25680.0
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1,0.0,4.0,1980,8900.0,0.0,0.0,40.0,100.0,1.0,57.0,99998,0.1887640449438202,0.0,13300,19950.0
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1,0.0,1.0,1970,29900.0,0.0,0.0,60.0,20.0,3.0,60.0,99998,0.0321070234113712,0.0,19998,29997.0
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,0.0,3.0,1990,25000.0,0.0,0.0,20.0,140.0,2.0,57.0,99998,0.0768,1.0,17622,26433.0
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1,0.0,2.0,2012,17000.0,0.0,0.0,0.0,80.0,1.0,32.0,99998,0.0564705882352941,0.0,13300,19950.0
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1,0.0,3.0,1980,13000.0,110.0,0.0,0.0,40.0,1.0,56.0,99998,0.1384615384615384,0.0,13300,19950.0
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,4.0,0,0.0,4.0,1970,32750.0,0.0,0.0,60.0,80.0,6.0,53.0,99999,0.0512977099236641,4.0,34161,51241.5
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.0,0.0,1,0.0,4.0,1920,23000.0,0.0,0.0,40.0,100.0,4.0,33.0,99998,0.0730434782608695,2.0,25926,38889.0
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,1,0.0,4.0,1950,16000.0,0.0,0.0,100.0,110.0,1.0,80.0,37980,0.1575,0.0,12261,18391.5
