,0
NUMELDERS,-0.015546469470904744
NUMOLDKIDS,-0.012133513398294183
BLD_4,-0.010861432626357725
BLD_2,-0.008043386139662313
HHRACE_6.0,-0.007227616587934582
DIVISION_7,-0.0070189589849789956
HEATTYPE_3,-0.006480970970618038
HEATTYPE_1,-0.0052023130278073815
TENURE_2.0,-0.003938024865773748
COOKFUEL_1,-0.003295488621933895
BLD_7,-0.0025158288132426155
HEATFUEL_2,-0.0023521831941757387
HEATFUEL_1,-0.0019265399492994551
HEATTYPE_6,-0.0014771306503997828
HEATFUEL_4,-0.0014396882007215784
HEATTYPE_2,-0.0012186507999199848
HOTWATER_1,-0.0009638848419314172
BLD_8,-0.000814704099178476
DIVISION_2,-0.0006813688223459291
ACPRIMARY_7,-0.0006190499050481524
BLD_6,-0.0005583925653239507
HHRACE_3.0,-0.0005571620160703006
ACPRIMARY_4,-0.00039970529243231744
BLD_5,-0.0003647159943277245
HEATTYPE_12,-0.00010615511053790883
SOLAR,-8.202056371726662e-05
HEATTYPE_7,-7.449379940625001e-05
HEATTYPE_9,-7.122435338500211e-05
HEATFUEL_0,-5.756251018036451e-05
BLD_9,-4.209436851407844e-05
HEATTYPE_10,-3.1947125430598075e-05
COOKFUEL_4,-1.6526126083382664e-05
HEATFUEL_9,-9.029727002207722e-06
HHRACE_5.0,-6.765517067686133e-06
HEATTYPE_13,-2.1599140653805193e-08
HEATTYPE_11,0.0
HEATFUEL_8,0.0
COOKFUEL_0,0.0
HOTWATER_6,4.111061656475457e-06
HOTWATER_5,5.272665302502588e-06
HEATFUEL_6,1.4068819603441085e-05
ACPRIMARY_3,1.885641760850376e-05
HEATTYPE_0,3.927388362656714e-05
BLD_3,0.00010078482661888267
HHRACE_4.0,0.00013348027832575936
COOKFUEL_3,0.00023528039972453563
HEATFUEL_5,0.00023648169648295969
HHRACE_1.0,0.000315292328067418
DIVISION_9,0.0003982271047420216
ACPRIMARY_2,0.0005582210454056824
ACPRIMARY_5,0.0008663988509156173
DIVISION_1,0.0009518581026777273
DIVISION_5,0.0011993701817877955
NUMYNGKIDS,0.0013974138146480187
HEATTYPE_4,0.001421028910003752
HOTWATER_4,0.0015710774899547087
HOTWATER_0,0.0017142456986150468
DIVISION_8,0.0017258134862945251
COOKFUEL_2,0.0019913745267670533
FIREPLACE,0.0020443415993855575
HOTWATER_3,0.002157590316455238
HEATTYPE_5,0.0036103277739073293
HOTWATER_2,0.003711526993471237
DIVISION_3,0.003980722313287366
TENURE_0.0,0.004020673840038747
ACPRIMARY_0,0.004348832969283567
HEATFUEL_7,0.004873262171500192
HEATTYPE_8,0.007017377518624457
HHRACE_2.0,0.008052765252575523
ACPRIMARY_6,0.009307267490794358
DIVISION_6,0.009498173729076775
DIVISION_4,0.009993980495943822
BLD_1,0.014792950681822825
HEATFUEL_3,0.016468767659029427
ACPRIMARY_1,0.04019945233637738
YRBUILT,0.04094255353481859
TENURE_1.0,0.0642085224209954
UNITSIZE,0.0648096092379689
