,Importance
UNITSIZE,0.29739820782009607
NUMELDERS,0.2508842487644915
YRBUILT,0.19014319354987425
HEATFUEL_3,0.14639381929043507
HOTWATER_3,0.08713167610043666
HOTWATER_4,0.08478458645254797
HEATTYPE_7,0.08093063226905779
BLD_8,0.07998900938485835
BLD_7,0.06638724470253561
DIVISION_7,0.046741543077606626
NUMOLDKIDS,0.044089921430067916
FIREPLACE,0.04111145465889236
DIVISION_2,0.038998155069303084
HHRACE_6.0,0.037808608184522474
DIVISION_6,0.03688980163275653
HEATTYPE_8,0.034379103620705884
BLD_1,0.03293742099098203
COOKFUEL_2,0.03274486408002668
HEATTYPE_5,0.03134042022980874
ACPRIMARY_6,0.02833617045344643
DIVISION_4,0.026625968500560693
HEATTYPE_3,0.025607548104550702
ACPRIMARY_1,0.025066084274401223
TENURE_2.0,0.022403899498437196
HEATTYPE_1,0.020522840185892365
DIVISION_9,0.020255087331809675
BLD_2,0.018933857280364876
DIVISION_5,0.018706328728720356
ACPRIMARY_2,0.0180551882804036
ACPRIMARY_5,0.018023387263431667
HHRACE_2.0,0.017976140934603136
COOKFUEL_3,0.017415460624076416
NUMYNGKIDS,0.017106422786130483
HHRACE_1.0,0.016872310449235005
ACPRIMARY_0,0.01684587041660073
BLD_5,0.015929092682088752
TENURE_1.0,0.01560227442107669
HOTWATER_2,0.014974747466734706
DIVISION_8,0.014654869893497046
COOKFUEL_1,0.013254571536205994
DIVISION_3,0.01161529636441141
HOTWATER_1,0.008934714556277302
HEATFUEL_2,0.008860040131846136
HEATFUEL_1,0.008187169506547942
BLD_4,0.007962453333074725
TENURE_0.0,0.007515155052461075
ACPRIMARY_4,0.006391167922026031
DIVISION_1,0.0054152220297398745
ACPRIMARY_7,0.005152795430317702
HHRACE_3.0,0.004900392081910532
HEATFUEL_9,0.004300819760837138
HEATTYPE_4,0.003960022300037491
HEATFUEL_4,0.003938447540512047
HOTWATER_0,0.003454682069899695
HEATFUEL_7,0.0031434118525195177
BLD_9,0.002748437836135231
HEATTYPE_2,0.0018967569749141822
BLD_6,0.0010309988386858703
HEATFUEL_5,0.000741988188402365
HHRACE_4.0,0.000653970382672231
HEATTYPE_0,0.0006003211672339192
HEATFUEL_0,0.0004505994762161958
SOLAR,0.0004005161074495334
HEATTYPE_6,0.0001984238720568854
BLD_3,0.00015788240125935715
HEATTYPE_13,0.0001519364101061571
HEATTYPE_9,0.00011620854429295058
HEATTYPE_12,5.339938109463205e-05
ACPRIMARY_3,5.271364233627729e-05
HEATFUEL_6,4.894610535794985e-05
COOKFUEL_0,1.800860186051967e-05
HEATTYPE_10,5.785527685175928e-06
HEATTYPE_11,0.0
HOTWATER_6,0.0
HHRACE_5.0,0.0
HOTWATER_5,0.0
COOKFUEL_4,-2.372104423731258e-06
