Feature,Shapley Value
UNITSIZE,0.022813641813470863
NUMELDERS,0.018914443290807634
HEATFUEL_3,0.013646160575901274
YRBUILT,0.008561320466215636
DIVISION_7,0.0066151181783449114
HOTWATER_3,0.00656571070445095
BLD_8,0.005967737334589063
BLD_1,0.005941872735135047
BLD_7,0.005849411097935683
FIREPLACE,0.0055630403573095925
BLD_5,0.00470724339348523
NUMOLDKIDS,0.004552439230439755
DIVISION_6,0.004493238419826794
DIVISION_5,0.0043174867306763915
HEATTYPE_7,0.004234123418819974
HOTWATER_4,0.0038630100640588225
HEATTYPE_3,0.0038096313901233607
DIVISION_2,0.003691435859203641
ACPRIMARY_6,0.003603021107394953
ACPRIMARY_1,0.003544485640649771
HEATTYPE_5,0.0033960453514680555
BLD_2,0.002736592949395892
HEATTYPE_8,0.0027212350301688186
DIVISION_4,0.0025961435035702996
DIVISION_3,0.00259226789254697
COOKFUEL_3,0.002379280064800502
ACPRIMARY_2,0.002372754293008035
ACPRIMARY_5,0.002367167580149779
NUMYNGKIDS,0.0023322251555700285
HHRACE_6.0,0.002253027403281202
HEATTYPE_1,0.0021670040787142753
TENURE_1.0,0.002143950913654637
HHRACE_2.0,0.0018981354105535452
DIVISION_9,0.0018489233241766702
DIVISION_1,0.0016989855444157344
TENURE_2.0,0.0016794512181243482
HEATFUEL_2,0.0016784087685581125
ACPRIMARY_0,0.0016088339983686137
ACPRIMARY_7,0.0014950336816972945
DIVISION_8,0.0014949764664425845
TENURE_0.0,0.0014674472891272594
HEATFUEL_4,0.0014207065237592912
COOKFUEL_2,0.00138538266264266
HOTWATER_1,0.0013389186800977023
HHRACE_1.0,0.0012914223713084046
BLD_4,0.001242803335770415
COOKFUEL_1,0.0012339329173321428
HOTWATER_2,0.0009147347905723077
HOTWATER_0,0.0008334778080688384
HEATFUEL_1,0.0008330579370912804
ACPRIMARY_4,0.0008141531964158815
HHRACE_3.0,0.0005666586585761099
HEATTYPE_4,0.0005571138037452662
HEATFUEL_9,0.0005247907343271857
BLD_6,0.00027048187597292136
HEATTYPE_6,0.0002699294985988296
HEATFUEL_5,0.00023799797767020675
HEATFUEL_0,0.00023742109211047962
SOLAR,0.00023175374115141795
BLD_9,0.0002170822678225375
HEATFUEL_7,0.00021582148654131894
BLD_3,0.00020701242349806056
HEATTYPE_0,0.00017928450341473976
HEATTYPE_2,0.00015444182863193846
HEATTYPE_9,0.0001037614112531533
HHRACE_4.0,5.8299659888458586e-05
HEATFUEL_6,4.653535793738678e-05
HEATTYPE_13,3.1872128850950894e-05
HEATTYPE_12,2.762048845964713e-05
COOKFUEL_0,1.687208609477456e-05
HEATTYPE_10,9.178168476961873e-06
COOKFUEL_4,8.242283741636566e-06
ACPRIMARY_3,1.620539533967234e-06
HOTWATER_6,0.0
HOTWATER_5,0.0
HHRACE_5.0,0.0
HEATTYPE_11,0.0
